tag,base,n,net,dpnl_pct,pf,win,max_dd,dd/flatref,dd/net,cohort_pnl,virtual_blocked_pnl,triggers,blocked
M3_D1,FLAT,18943,185886.0,-1.77,2.151,0.493,2250.0,1.0,0.0121,842.0,3342.0,2355,2355
M3_D1,v2B,18943,283699.0,-2.26,2.507,0.493,3426.0,1.522,0.01207,2240.0,6571.0,2355,2355
M3_D2,FLAT,21298,187538.0,-0.89,2.104,0.4828,2250.0,1.0,0.012,969.0,1690.0,2355,2355
M3_D2,v2B,21298,285351.0,-1.69,2.451,0.4828,3426.0,1.522,0.012,2367.0,4919.0,1127,1127
M3_D3,FLAT,21123,187482.0,-0.92,2.107,0.484,2250.0,1.0,0.012,913.0,1746.0,2355,2355
M3_D3,v2B,21123,287668.0,-0.9,2.448,0.484,3426.0,1.522,0.01191,2382.0,2602.0,1222,1222
M4_D1,FLAT,20539,189614.0,0.2,2.097,0.4862,2250.0,1.0,0.01187,787.0,-387.0,759,759
M4_D1,v2B,20539,290352.0,0.03,2.452,0.4862,3426.0,1.522,0.0118,2467.0,-82.0,759,759
M4_D2,FLAT,21298,189419.0,0.1,2.079,0.4828,2250.0,1.0,0.01188,928.0,-191.0,759,759
M4_D2,v2B,21298,290157.0,-0.04,2.431,0.4828,3426.0,1.522,0.01181,2608.0,113.0,334,334
M4_D3,FLAT,21123,189363.0,0.07,2.082,0.484,2250.0,1.0,0.01188,872.0,-135.0,759,759
M4_D3,v2B,21123,290101.0,-0.06,2.435,0.484,3426.0,1.522,0.01181,2552.0,169.0,429,429
M5_D1,FLAT,21123,189090.0,-0.07,2.067,0.484,2250.0,1.0,0.0119,927.0,137.0,175,175
M5_D1,v2B,21123,289863.0,-0.14,2.417,0.484,3426.0,1.522,0.01182,2603.0,407.0,175,175
M5_D2,FLAT,21298,189146.0,-0.04,2.064,0.4828,2250.0,1.0,0.01189,983.0,81.0,175,175
M5_D2,v2B,21298,289919.0,-0.12,2.414,0.4828,3426.0,1.522,0.01182,2659.0,351.0,80,80
M5_D3,FLAT,21123,189090.0,-0.07,2.067,0.484,2250.0,1.0,0.0119,927.0,137.0,175,175
M5_D3,v2B,21123,289863.0,-0.14,2.417,0.484,3426.0,1.522,0.01182,2603.0,407.0,175,175
