feature,bucket,event_count,train_ext_trade_count,train_ext_no_cost_pnl,train_ext_cost_aware_pnl,train_ext_funding_adjusted_pnl,validation_ext_trade_count,validation_ext_no_cost_pnl,validation_ext_cost_aware_pnl,validation_ext_funding_adjusted_pnl,oos_ext_trade_count,oos_ext_no_cost_pnl,oos_ext_cost_aware_pnl,oos_ext_funding_adjusted_pnl,trade_count,train_no_cost,validation_no_cost,oos_no_cost,oos_cost,oos_funding,direction_match,early_entry_rate,trend_recall_proxy_count,largest_symbol_pnl_share,top_5pct_trade_pnl_contribution,all_splits_no_cost_positive
ret_3,q1,944,522,-190.71666622087517,-712.716666220875,-697.755909816595,219,276.92537091249915,57.925370912499204,62.29787444857817,203,38.761389683430274,-164.23861031656972,-159.71946119471653,944,-190.71666622087517,276.92537091249915,38.761389683430274,-164.23861031656972,-159.71946119471653,0.864406779661017,0.2574152542372881,391.0,1.0,-1.9108480203507805,False
ret_3,q2,1020,522,360.0670507610784,-161.9329492389216,-145.003435695461,295,54.595937543158925,-240.40406245684107,-232.65792167847576,203,118.81543385459314,-84.18456614540693,-79.85065645896024,1020,360.0670507610784,54.595937543158925,118.81543385459314,-84.18456614540693,-79.85065645896024,0.865686274509804,0.24019607843137256,436.0,1.0,-4.869532168798885,True
ret_3,q3,1150,522,123.8255098916854,-398.17449010831456,-377.720931332432,344,798.4040411517447,454.4040411517447,462.12629479490784,284,69.21615878803611,-214.78384121196393,-209.70320633480452,1150,123.8255098916854,798.4040411517447,69.21615878803611,-214.78384121196393,-209.70320633480452,0.8747826086956522,0.20695652173913043,477.0,0.9200126172480181,-23.05675566863862,True
ret_3,q4,1293,522,360.27004428774075,-161.7299557122592,-141.91720171382372,455,2096.0102012851753,1641.0102012851753,1650.3479744363144,316,1006.8918227036854,690.8918227036854,696.1287495990238,1293,360.27004428774075,2096.0102012851753,1006.8918227036854,690.8918227036854,696.1287495990238,0.9048723897911833,0.2374323279195669,535.0,0.4489258324120923,1.890831848847151,True
ret_3,q5,1371,522,-418.25296133332074,-940.2529613333205,-921.2888562905348,491,21.38468706731419,-469.6153129326859,-458.28711453740164,358,116.4579584978504,-241.5420415021496,-234.9083410837922,1371,-418.25296133332074,21.38468706731419,116.4579584978504,-241.5420415021496,-234.9083410837922,0.9307075127644056,0.21954777534646244,554.0,1.0,-2.4039710601915436,False
ret_6,q1,1142,522,127.02880787692351,-394.97119212307643,-374.63536506483126,377,738.1209555856022,361.12095558560225,370.8628076726377,243,277.51389293862496,34.513892938624956,39.34169325722585,1142,127.02880787692351,738.1209555856022,277.51389293862496,34.513892938624956,39.34169325722585,0.8213660245183888,0.26882661996497376,483.0,0.693636711444614,91.23886030961106,True
ret_6,q2,959,522,-168.52306488240956,-690.5230648824097,-674.3930912230578,227,912.3630779438533,685.3630779438533,691.2014827363187,210,391.70300519233865,181.70300519233865,186.16922889235832,959,-168.52306488240956,912.3630779438533,391.70300519233865,181.70300519233865,186.16922889235832,0.8873826903023984,0.22627737226277372,444.0,1.0,11.980376093893524,False
ret_6,q3,1056,522,434.7214808422966,-87.27851915770333,-71.76428167676971,299,855.2123469311159,556.2123469311159,562.1871948224909,235,340.49570552328817,105.49570552328815,109.93402740492162,1056,434.7214808422966,855.2123469311159,340.49570552328817,105.49570552328815,109.93402740492162,0.896780303030303,0.2168560606060606,455.0,0.6862752570185784,4.440183196835967,True
ret_6,q4,1244,522,-327.23122764916394,-849.2312276491639,-829.2667099492493,410,778.4205884207283,368.42058842072845,377.3954045626664,312,544.9700148878942,232.9700148878942,238.53271025468018,1244,-327.23122764916394,778.4205884207283,544.9700148878942,232.9700148878942,238.53271025468018,0.9011254019292605,0.2282958199356913,527.0,0.5878826422337395,-12.679585320054747,False
ret_6,q5,1377,522,169.19698119866263,-352.8030188013375,-333.626886934938,491,-36.79673092140761,-527.7967309214077,-517.8197823301908,364,-204.53985501455065,-568.5398550145505,-562.0305752824354,1377,169.19698119866263,-36.79673092140761,-204.53985501455065,-568.5398550145505,-562.0305752824354,0.9397240377632534,0.21568627450980393,506.0,0.5454788726259585,-2.5795288932422995,False
