scope,group,session_type,timeframe,direction,horizon,event_count,mean_future_return,median_future_return,reversal_rate,mean_mfe,mean_mae,mean_mfe_mae_ratio,horizon_path_note
B,B,asia_to_europe,15m,long,4,624,-0.005947543002306381,-0.0017378510068421999,0.6362179487179487,,,,
B,B,asia_to_europe,15m,long,8,624,-0.006518771344636153,-0.0027016332305363003,0.6602564102564102,,,,
B,B,asia_to_europe,15m,long,16,624,-0.00838222224903235,-0.0033881498250689,0.6330128205128205,,,,
B,B,asia_to_europe,15m,long,32,624,-0.007404904408275072,-0.00473739361569795,0.6169871794871795,,,,
B,B,asia_to_europe,15m,short,4,508,-0.009043840407348479,-0.00201535786842225,0.6515748031496063,,,,
B,B,asia_to_europe,15m,short,8,508,-0.008961399666854952,-0.0025864831302391004,0.6515748031496063,,,,
B,B,asia_to_europe,15m,short,16,508,-0.01128256380542383,-0.0033526519376199,0.6318897637795275,,,,
B,B,asia_to_europe,15m,short,32,506,-0.011341856919960749,-0.0016717346276722,0.5375494071146245,,,,
B,B,asia_to_europe,1h,long,4,398,-0.006462722929502246,-0.00337156757504865,0.6432160804020101,,,,
B,B,asia_to_europe,1h,long,8,398,-0.005557451907387564,-0.00352001744424275,0.585427135678392,,,,
B,B,asia_to_europe,1h,long,16,398,-0.004027619386792036,-0.0013470072415720001,0.5276381909547738,,,,
B,B,asia_to_europe,1h,long,32,397,0.00017974898936450664,-0.0009497021388746,0.5113350125944585,,,,
B,B,asia_to_europe,1h,short,4,333,-0.00986799104820006,-0.00272342420607,0.6186186186186187,,,,
B,B,asia_to_europe,1h,short,8,331,-0.012181293586279092,-0.0021771007230124,0.5468277945619335,,,,
B,B,asia_to_europe,1h,short,16,331,-0.012662889708170528,-0.0036930476231373,0.5830815709969789,,,,
B,B,asia_to_europe,1h,short,32,331,-0.008175601692035317,-0.0038658075983115,0.5830815709969789,,,,
B,B,asia_to_europe,30m,long,4,518,-0.0048615333358003054,-0.0020362479698347,0.6274131274131274,,,,
B,B,asia_to_europe,30m,long,8,518,-0.006649335307678823,-0.0031888941926954,0.6332046332046332,,,,
B,B,asia_to_europe,30m,long,16,518,-0.00569658452507242,-0.0046042917235823,0.6061776061776062,,,,
B,B,asia_to_europe,30m,long,32,518,-0.004206540213855338,-0.00354696521816205,0.5637065637065637,,,,
B,B,asia_to_europe,30m,short,4,425,-0.008705117163315892,-0.0019146237130129,0.6235294117647059,,,,
B,B,asia_to_europe,30m,short,8,425,-0.011502454649691926,-0.0024827314962758,0.6211764705882353,,,,
B,B,asia_to_europe,30m,short,16,423,-0.012758450707027181,-0.0012396091585242,0.541371158392435,,,,
B,B,asia_to_europe,30m,short,32,423,-0.014327680415697461,-0.0040227995912351,0.5768321513002365,,,,
C,C,europe_to_us,15m,long,4,1041,-0.002491398448383018,-0.0008000227417631,0.5494716618635928,,,,
C,C,europe_to_us,15m,long,8,1040,-0.0031749917711365507,-0.0010266255341449498,0.5528846153846154,,,,
C,C,europe_to_us,15m,long,16,1039,-0.0029801873278101493,-0.0012631619454426,0.5399422521655438,,,,
C,C,europe_to_us,15m,long,32,1039,-0.001915483958235651,-0.0010616340861642,0.5264677574590952,,,,
C,C,europe_to_us,15m,short,4,1119,-0.006627640424611147,-0.0015572467507223,0.5987488829311886,,,,
C,C,europe_to_us,15m,short,8,1119,-0.006094871909655317,-0.0014958274287513,0.5638963360142984,,,,
C,C,europe_to_us,15m,short,16,1119,-0.006714501659416416,-0.0021261995788164,0.5719392314566577,,,,
C,C,europe_to_us,15m,short,32,1119,-0.007109610993350586,-0.0019528238861195,0.5656836461126006,,,,
C,C,europe_to_us,30m,long,4,938,-0.0036466626094273373,-0.00065672158735205,0.5287846481876333,,,,
C,C,europe_to_us,30m,long,8,938,-0.0037507089560576685,-0.0007761042637917,0.5341151385927505,,,,
C,C,europe_to_us,30m,long,16,938,-0.0023868224531492788,-0.00076312739827205,0.5266524520255863,,,,
C,C,europe_to_us,30m,long,32,938,-0.0012073285103703496,-0.0004497815985119,0.5042643923240938,,,,
C,C,europe_to_us,30m,short,4,1001,-0.006744385826985308,-0.0015632541963663,0.5634365634365635,,,,
C,C,europe_to_us,30m,short,8,1001,-0.00656644169661517,-0.0015918638072076,0.5594405594405595,,,,
C,C,europe_to_us,30m,short,16,1001,-0.00726823674754482,-0.0020746887966804,0.5614385614385614,,,,
C,C,europe_to_us,30m,short,32,1001,-0.007315593819384611,-0.0031641107913689,0.5754245754245755,,,,
core_session_breakout,B+C,core_session_breakout,15m,long,4,1665,-0.003786674245168711,-0.0011235883528767,0.581981981981982,,,,
core_session_breakout,B+C,core_session_breakout,15m,long,8,1664,-0.004428909111198901,-0.00174344834250945,0.5931490384615384,,,,
core_session_breakout,B+C,core_session_breakout,15m,long,16,1663,-0.005007168561028822,-0.0020769723112745,0.5748647023451593,,,,
core_session_breakout,B+C,core_session_breakout,15m,long,32,1663,-0.0039752544698559746,-0.0022260226808924,0.5604329524954901,,,,
core_session_breakout,B+C,core_session_breakout,15m,short,4,1627,-0.007382053203486725,-0.0017161620082815,0.6152427781192379,,,,
core_session_breakout,B+C,core_session_breakout,15m,short,8,1627,-0.006989891024994846,-0.0019162317080643,0.5912722802704364,,,,
