group,event_group,hold,passed,rejected_reasons
A,top10_score_events,hold_4h,False,train_ext_early_trend_rate_not_above_random_1.2;validation_ext_no_cost_not_positive;oos_ext_no_cost_not_positive;oos_cost_aware_negative;oos_funding_adjusted_negative_or_unavailable;random_control_not_weaker;concentration_failed
A,top10_score_events,hold_8h,False,train_ext_early_trend_rate_not_above_random_1.2;validation_ext_no_cost_not_positive;oos_cost_aware_negative;oos_funding_adjusted_negative_or_unavailable;random_control_not_weaker;concentration_failed
A,top10_score_events,hold_1d,False,train_ext_early_trend_rate_not_above_random_1.2;train_ext_no_cost_not_positive;validation_ext_no_cost_not_positive;oos_cost_aware_negative;oos_funding_adjusted_negative_or_unavailable;random_control_not_weaker
A,top10_score_events,hold_3d,False,train_ext_early_trend_rate_not_above_random_1.2;train_ext_no_cost_not_positive;validation_ext_no_cost_not_positive;random_control_not_weaker;concentration_failed
B,top20_score_events,hold_4h,False,train_ext_early_trend_rate_not_above_random_1.2;train_ext_no_cost_not_positive;validation_ext_no_cost_not_positive;oos_cost_aware_negative;oos_funding_adjusted_negative_or_unavailable;random_control_not_weaker;concentration_failed
B,top20_score_events,hold_8h,False,train_ext_early_trend_rate_not_above_random_1.2;train_ext_no_cost_not_positive;validation_ext_no_cost_not_positive;oos_cost_aware_negative;oos_funding_adjusted_negative_or_unavailable;concentration_failed
B,top20_score_events,hold_1d,False,train_ext_early_trend_rate_not_above_random_1.2;train_ext_no_cost_not_positive;validation_ext_no_cost_not_positive;random_control_not_weaker;concentration_failed
B,top20_score_events,hold_3d,False,train_ext_early_trend_rate_not_above_random_1.2;train_ext_no_cost_not_positive;validation_ext_no_cost_not_positive;random_control_not_weaker;concentration_failed
C,top30_score_events,hold_4h,False,train_ext_early_trend_rate_not_above_random_1.2;train_ext_no_cost_not_positive;validation_ext_no_cost_not_positive;oos_cost_aware_negative;oos_funding_adjusted_negative_or_unavailable;random_control_not_weaker
C,top30_score_events,hold_8h,False,train_ext_early_trend_rate_not_above_random_1.2;validation_ext_no_cost_not_positive;oos_cost_aware_negative;oos_funding_adjusted_negative_or_unavailable;random_control_not_weaker;concentration_failed
C,top30_score_events,hold_1d,False,train_ext_early_trend_rate_not_above_random_1.2;validation_ext_no_cost_not_positive;random_control_not_weaker;concentration_failed
C,top30_score_events,hold_3d,False,train_ext_early_trend_rate_not_above_random_1.2;train_ext_no_cost_not_positive;validation_ext_no_cost_not_positive;concentration_failed
