filter_name,policy_name,rejected_reason
original_all,v3_1d_donchian_20_10_atr4,oos_no_cost_net_pnl_not_positive
original_all,v3_1d_donchian_20_10_atr4,oos_cost_aware_net_pnl_negative
original_all,v3_1d_donchian_20_10_atr4,oos_funding_adjusted_net_pnl_negative
original_all,v3_1d_donchian_20_10_atr4,oos_largest_symbol_pnl_share_over_0p7
keep_trend_friendly,v3_1d_donchian_20_10_atr4,train_no_cost_net_pnl_not_positive
keep_trend_friendly,v3_1d_donchian_20_10_atr4,validation_no_cost_net_pnl_not_positive
keep_trend_friendly,v3_1d_donchian_20_10_atr4,oos_no_cost_net_pnl_not_positive
keep_trend_friendly,v3_1d_donchian_20_10_atr4,train_ext_trade_count_under_10
keep_trend_friendly,v3_1d_donchian_20_10_atr4,validation_ext_trade_count_under_10
keep_trend_friendly,v3_1d_donchian_20_10_atr4,oos_ext_trade_count_under_10
keep_trend_friendly,v3_1d_donchian_20_10_atr4,oos_largest_symbol_pnl_share_over_0p7
keep_trend_friendly,v3_1d_donchian_20_10_atr4,oos_top_5pct_trade_pnl_contribution_over_0p8
keep_trend_friendly,v3_1d_donchian_20_10_atr4,oos_not_enough_active_symbols
exclude_hostile_chop_overheated,v3_1d_donchian_20_10_atr4,oos_no_cost_net_pnl_not_positive
exclude_hostile_chop_overheated,v3_1d_donchian_20_10_atr4,oos_cost_aware_net_pnl_negative
exclude_hostile_chop_overheated,v3_1d_donchian_20_10_atr4,oos_funding_adjusted_net_pnl_negative
exclude_hostile_chop_overheated,v3_1d_donchian_20_10_atr4,oos_largest_symbol_pnl_share_over_0p7
keep_trend_friendly_exclude_funding_overheated,v3_1d_donchian_20_10_atr4,train_no_cost_net_pnl_not_positive
keep_trend_friendly_exclude_funding_overheated,v3_1d_donchian_20_10_atr4,validation_no_cost_net_pnl_not_positive
keep_trend_friendly_exclude_funding_overheated,v3_1d_donchian_20_10_atr4,oos_no_cost_net_pnl_not_positive
keep_trend_friendly_exclude_funding_overheated,v3_1d_donchian_20_10_atr4,train_ext_trade_count_under_10
keep_trend_friendly_exclude_funding_overheated,v3_1d_donchian_20_10_atr4,validation_ext_trade_count_under_10
keep_trend_friendly_exclude_funding_overheated,v3_1d_donchian_20_10_atr4,oos_ext_trade_count_under_10
keep_trend_friendly_exclude_funding_overheated,v3_1d_donchian_20_10_atr4,oos_largest_symbol_pnl_share_over_0p7
keep_trend_friendly_exclude_funding_overheated,v3_1d_donchian_20_10_atr4,oos_top_5pct_trade_pnl_contribution_over_0p8
keep_trend_friendly_exclude_funding_overheated,v3_1d_donchian_20_10_atr4,oos_not_enough_active_symbols
exclude_funding_overheated,v3_1d_donchian_20_10_atr4,oos_no_cost_net_pnl_not_positive
exclude_funding_overheated,v3_1d_donchian_20_10_atr4,oos_cost_aware_net_pnl_negative
exclude_funding_overheated,v3_1d_donchian_20_10_atr4,oos_funding_adjusted_net_pnl_negative
exclude_funding_overheated,v3_1d_donchian_20_10_atr4,oos_largest_symbol_pnl_share_over_0p7
original_all,v3_1d_donchian_55_20_atr5,train_no_cost_net_pnl_not_positive
original_all,v3_1d_donchian_55_20_atr5,validation_no_cost_net_pnl_not_positive
original_all,v3_1d_donchian_55_20_atr5,oos_no_cost_net_pnl_not_positive
original_all,v3_1d_donchian_55_20_atr5,oos_cost_aware_net_pnl_negative
original_all,v3_1d_donchian_55_20_atr5,oos_funding_adjusted_net_pnl_negative
original_all,v3_1d_donchian_55_20_atr5,oos_ext_trade_count_under_10
original_all,v3_1d_donchian_55_20_atr5,oos_largest_symbol_pnl_share_over_0p7
keep_trend_friendly,v3_1d_donchian_55_20_atr5,train_no_cost_net_pnl_not_positive
keep_trend_friendly,v3_1d_donchian_55_20_atr5,oos_no_cost_net_pnl_not_positive
keep_trend_friendly,v3_1d_donchian_55_20_atr5,train_ext_trade_count_under_10
keep_trend_friendly,v3_1d_donchian_55_20_atr5,validation_ext_trade_count_under_10
keep_trend_friendly,v3_1d_donchian_55_20_atr5,oos_ext_trade_count_under_10
keep_trend_friendly,v3_1d_donchian_55_20_atr5,oos_largest_symbol_pnl_share_over_0p7
keep_trend_friendly,v3_1d_donchian_55_20_atr5,oos_top_5pct_trade_pnl_contribution_over_0p8
keep_trend_friendly,v3_1d_donchian_55_20_atr5,oos_not_enough_active_symbols
exclude_hostile_chop_overheated,v3_1d_donchian_55_20_atr5,train_no_cost_net_pnl_not_positive
exclude_hostile_chop_overheated,v3_1d_donchian_55_20_atr5,validation_no_cost_net_pnl_not_positive
exclude_hostile_chop_overheated,v3_1d_donchian_55_20_atr5,oos_no_cost_net_pnl_not_positive
exclude_hostile_chop_overheated,v3_1d_donchian_55_20_atr5,oos_cost_aware_net_pnl_negative
exclude_hostile_chop_overheated,v3_1d_donchian_55_20_atr5,oos_funding_adjusted_net_pnl_negative
exclude_hostile_chop_overheated,v3_1d_donchian_55_20_atr5,oos_ext_trade_count_under_10
exclude_hostile_chop_overheated,v3_1d_donchian_55_20_atr5,oos_largest_symbol_pnl_share_over_0p7
keep_trend_friendly_exclude_funding_overheated,v3_1d_donchian_55_20_atr5,train_no_cost_net_pnl_not_positive
keep_trend_friendly_exclude_funding_overheated,v3_1d_donchian_55_20_atr5,oos_no_cost_net_pnl_not_positive
keep_trend_friendly_exclude_funding_overheated,v3_1d_donchian_55_20_atr5,train_ext_trade_count_under_10
keep_trend_friendly_exclude_funding_overheated,v3_1d_donchian_55_20_atr5,validation_ext_trade_count_under_10
keep_trend_friendly_exclude_funding_overheated,v3_1d_donchian_55_20_atr5,oos_ext_trade_count_under_10
keep_trend_friendly_exclude_funding_overheated,v3_1d_donchian_55_20_atr5,oos_largest_symbol_pnl_share_over_0p7
keep_trend_friendly_exclude_funding_overheated,v3_1d_donchian_55_20_atr5,oos_top_5pct_trade_pnl_contribution_over_0p8
keep_trend_friendly_exclude_funding_overheated,v3_1d_donchian_55_20_atr5,oos_not_enough_active_symbols
exclude_funding_overheated,v3_1d_donchian_55_20_atr5,train_no_cost_net_pnl_not_positive
exclude_funding_overheated,v3_1d_donchian_55_20_atr5,validation_no_cost_net_pnl_not_positive
exclude_funding_overheated,v3_1d_donchian_55_20_atr5,oos_no_cost_net_pnl_not_positive
exclude_funding_overheated,v3_1d_donchian_55_20_atr5,oos_cost_aware_net_pnl_negative
exclude_funding_overheated,v3_1d_donchian_55_20_atr5,oos_funding_adjusted_net_pnl_negative
exclude_funding_overheated,v3_1d_donchian_55_20_atr5,oos_ext_trade_count_under_10
exclude_funding_overheated,v3_1d_donchian_55_20_atr5,oos_largest_symbol_pnl_share_over_0p7
original_all,v3_1d_ema_50_200_atr5,oos_top_5pct_trade_pnl_contribution_over_0p8
keep_trend_friendly,v3_1d_ema_50_200_atr5,oos_no_cost_net_pnl_not_positive
keep_trend_friendly,v3_1d_ema_50_200_atr5,train_ext_trade_count_under_10
keep_trend_friendly,v3_1d_ema_50_200_atr5,validation_ext_trade_count_under_10
keep_trend_friendly,v3_1d_ema_50_200_atr5,oos_ext_trade_count_under_10
keep_trend_friendly,v3_1d_ema_50_200_atr5,oos_largest_symbol_pnl_share_over_0p7
keep_trend_friendly,v3_1d_ema_50_200_atr5,oos_top_5pct_trade_pnl_contribution_over_0p8
keep_trend_friendly,v3_1d_ema_50_200_atr5,oos_not_enough_active_symbols
exclude_hostile_chop_overheated,v3_1d_ema_50_200_atr5,oos_top_5pct_trade_pnl_contribution_over_0p8
keep_trend_friendly_exclude_funding_overheated,v3_1d_ema_50_200_atr5,oos_no_cost_net_pnl_not_positive
keep_trend_friendly_exclude_funding_overheated,v3_1d_ema_50_200_atr5,train_ext_trade_count_under_10
keep_trend_friendly_exclude_funding_overheated,v3_1d_ema_50_200_atr5,validation_ext_trade_count_under_10
