policy_name,direction,signal_count,long_count,short_count,overlap_count,median_future_return_60m,mean_future_return_60m,positive_rate_60m,median_mfe_60m,median_mae_60m,median_future_return_120m,mean_future_return_120m,positive_rate_120m,median_mfe_120m,median_mae_120m,median_future_return_240m,mean_future_return_240m,positive_rate_240m,median_mfe_240m,median_mae_240m,median_future_return_480m,mean_future_return_480m,positive_rate_480m,median_mfe_480m,median_mae_480m
htf_1h_15m_structure_5m_pullback_reclaim,long,186,186,0,593,-0.00013263179656625157,-0.00017214623894853089,0.46774193548387094,0.003377425850546456,0.00409078147034897,-9.806766487896468e-05,-8.855670722589741e-07,0.4838709677419355,0.005111042830144741,0.007480780415092536,-8.129806197948453e-05,-0.0008722328442650369,0.4946236559139785,0.009663519558072764,0.010491579445275456,-0.00010238608833551543,-0.0012276056434052517,0.4946236559139785,0.013493316169890579,0.01308018084995699
htf_1h_15m_structure_5m_pullback_reclaim,short,270,0,270,706,-0.0006954522862420154,-0.0005041187139502684,0.4444444444444444,0.003073418020264951,0.003939431570643581,-0.0011716469903244597,-0.0006972523809745137,0.4074074074074074,0.005378307697686435,0.00596200969378885,-0.0005907327895308678,0.00046525606517244756,0.45555555555555555,0.008937514884072018,0.009817953845023097,-0.0013632342101608796,0.0010513845470680424,0.44074074074074077,0.01644524432762995,0.014550635644950793
htf_1h_15m_structure_5m_pullback_reclaim_strict,long,61,61,0,78,-3.5349845639021105e-05,-0.0007472685955662625,0.45901639344262296,0.002710921793932286,0.00284884953618747,0.0006013534230722151,-0.0006410680312084836,0.5573770491803278,0.0038462880502030394,0.003906559352906291,0.0003632107833246856,-0.0011597546790185554,0.5737704918032787,0.009304053034579596,0.008778018209284255,0.000817020865559126,0.0010134473317375643,0.5409836065573771,0.011634288916770208,0.011045587827500758
htf_1h_15m_structure_5m_pullback_reclaim_strict,short,84,0,84,103,-0.0006661173266443443,-0.0004016806061540894,0.44047619047619047,0.001979890989073252,0.0028387575629288953,-0.0005138885506566493,0.0004170371705212622,0.44047619047619047,0.002975365636873728,0.0046618675779677154,-7.104077185682289e-06,0.001574306913450231,0.5,0.008811785682350859,0.007695807313945147,-0.0012982148094705659,0.0014658936393367157,0.42857142857142855,0.01632401566377506,0.012554057091900495
htf_1h_15m_structure_5m_pullback_reclaim_vol_cap,long,128,128,0,298,-0.0001945058461784166,-0.00046098517102236957,0.4453125,0.00262615129164101,0.0035563063296727426,-3.7086468261005034e-05,-0.0003485516471158495,0.484375,0.004121208813819721,0.006903038412957696,-0.0003711276641225614,-0.0012823531667983156,0.4765625,0.0077019452830294766,0.01013666041004907,0.00025680932181004756,3.5999253528070166e-05,0.5078125,0.012135794008062528,0.012011601260908
htf_1h_15m_structure_5m_pullback_reclaim_vol_cap,short,176,0,176,383,-0.0006261680447385287,3.240501558655212e-05,0.4375,0.0027024303779330516,0.0033149759399266343,-0.0006615039274190382,0.0002755108521159103,0.4375,0.004490372028781775,0.004847566597643016,2.065456282096534e-05,0.0016594970157736409,0.5,0.011185705348063624,0.008529772127345181,-0.0005590579956959441,0.0027774253216705093,0.4772727272727273,0.01698165482938141,0.013059728951972494
htf_1h_15m_structure_no_overextension,long,355,355,0,2024,-0.00019556875584958444,-0.0005574539360495451,0.4704225352112676,0.002592765579102707,0.0032867478753905166,-0.000361956521739204,-0.0005291886842586766,0.4591549295774648,0.004509315424610083,0.006520315420125322,-0.00041273775526706746,-0.0009013169521042308,0.4704225352112676,0.008113295804635712,0.010678613522372427,-0.0009115711556981765,-0.0007239479308001049,0.4647887323943662,0.012086773793760441,0.01331664214919226
htf_1h_15m_structure_no_overextension,short,644,0,644,3544,-0.0003326452770399668,0.00015110871751480433,0.45652173913043476,0.0031170214697499032,0.003506218342170242,-0.0006434633066032536,0.00011540835972250255,0.44875776397515527,0.005247427463380805,0.0057535930266156,-0.0011457294840552246,0.0001726385075783727,0.4409937888198758,0.00915403817955629,0.009489913267052064,-0.0014502325827578932,0.0011095459647141063,0.4549689440993789,0.014743734504137795,0.013951452768038053
htf_1h_15m_structure_strict_vol_cap,long,259,259,0,1143,-0.00027588693849123214,-0.0006548221984480395,0.4594594594594595,0.002066897803625345,0.0027107511256785344,-0.0006041481945094906,-0.0009402582901279045,0.42857142857142855,0.003427879995729466,0.004756667905160494,-0.000818325787859453,-0.001741943961631881,0.42857142857142855,0.005904681568958292,0.009270105018254315,-0.0017673179766852787,-0.0010582292032835239,0.4594594594594595,0.009875691828903799,0.012526315789473719
htf_1h_15m_structure_strict_vol_cap,short,424,0,424,2003,-0.0005665382334976155,-0.0003976494931696353,0.4221698113207547,0.002338478098515173,0.002718194127790785,-0.0006027136213844764,-0.00017504857594032188,0.4481132075471698,0.003638808191345211,0.0046920096106995435,-0.00061834736151678,0.0004433493735790897,0.46462264150943394,0.008469655156302602,0.008269971216029348,-0.0007175961388935503,0.0018176091555519667,0.47641509433962265,0.014470541308897134,0.01229369155062432
htf_1h_15m_structure_with_vol_cap,long,393,393,0,2461,-0.000233166105599536,-0.0005213324360388903,0.4732824427480916,0.0023341200022435338,0.003098840086939725,-0.0004865064282051357,-0.0005102827829312384,0.44274809160305345,0.0037129331302696578,0.005917874773561427,-0.000709600186337811,-0.0017833836166290754,0.43765903307888043,0.00647416904595155,0.010244904035330737,-0.0018421787709496096,-0.0015998595488599858,0.43256997455470736,0.01050534451454288,0.01312041850662915
htf_1h_15m_structure_with_vol_cap,short,656,0,656,4095,-0.0006431406568054299,2.2962993785543035e-05,0.4329268292682927,0.002742675487245605,0.0032525194487985076,-0.0007092261599810912,0.0001830537804319497,0.4420731707317073,0.0044856955431342715,0.005122898993668412,-0.0010848829758030587,0.0003426103361959897,0.4344512195121951,0.008652337079642969,0.008850829092753865,-0.0011170605286103807,0.001209299076413463,0.4649390243902439,0.014210352833381679,0.012771140146340731
htf_1h_ema_15m_donchian_structure,long,615,615,0,4953,-0.0005099923287763541,-0.0013059831302814318,0.44390243902439025,0.002708326545991291,0.004160276468985757,-0.0006679939652447509,-0.0013954604493334117,0.43414634146341463,0.0044953882347538165,0.007910766110703293,-0.0010103822915299432,-0.0020460414351564007,0.4146341463414634,0.006711409395973256,0.011789501416057502,-0.0021458604254934732,-0.002675865447225314,0.42276422764227645,0.010400875096289619,0.015081695647369164
htf_1h_ema_15m_donchian_structure,short,1018,0,1018,7784,-0.0008296072355922224,-0.0012564269195189848,0.41002949852507375,0.0027391186188547856,0.004083117178578011,-0.0010929292776318267,-0.001205138310697972,0.4169124877089479,0.0045907325833038914,0.00618133312503566,-0.0015720611065136447,-0.0011769154379592146,0.415929203539823,0.007671152907695378,0.010080741128590809,-0.0014959136018680708,-0.0006773436613070017,0.4424778761061947,0.013110587133564167,0.014252589679998762
htf_1h_ema_15m_ema_structure,long,555,555,0,4772,-0.00032939723247493724,-0.0009613258883706128,0.45045045045045046,0.0026396575737024364,0.00414802633517819,-0.0006041481945094906,-0.0008703007848734425,0.436036036036036,0.004593256518289346,0.007134838889373385,-0.0008436898633981116,-0.0016753272788374897,0.436036036036036,0.007559219557633057,0.011163348274783602,-0.0018177455283673316,-0.0018732022705512893,0.44324324324324327,0.011547576438496687,0.014190795698187486
htf_1h_ema_15m_ema_structure,short,1042,0,1042,9124,-0.0007660787457688389,-0.00047695506964321013,0.42363112391930835,0.0031951355631589795,0.004076878276062845,-0.0009645817633759934,-0.0006020037994762129,0.42459173871277617,0.005467597842993888,0.006207888059256539,-0.0016989892622989444,-0.0007226455563292462,0.4197886647454371,0.009165061032275323,0.010230058734647551,-0.002138400855360323,-0.00046830078486063194,0.4313160422670509,0.014474595403835444,0.01428308479847884
htf_1h_ema_15m_vwap_structure,long,564,564,0,5088,-0.000486209180253383,-0.0008042193120547832,0.44680851063829785,0.0026980174783794997,0.00447820237008506,-0.0005159309749189211,-0.0009150120807755262,0.4379432624113475,0.00459571963172678,0.007321544004141811,-0.0009668447520361778,-0.0019434794988320834,0.43617021276595747,0.007694790746401892,0.011318157766115056,-0.0021439648686429336,-0.0025811501335555676,0.41843971631205673,0.012350586282377507,0.014788024700008007
htf_1h_ema_15m_vwap_structure,short,1127,0,1127,10952,-0.0005518538395857808,-0.00029424006832875154,0.4404973357015986,0.003192723480918258,0.003843607387586323,-0.0007397087656011991,-0.00041471963817176887,0.44316163410301956,0.005601250532139002,0.0059659693820991455,-0.0011704574306499738,-0.00012149144042303948,0.433392539964476,0.009588896862370744,0.00986330101983468,-0.0017812396029182609,8.033714426128665e-05,0.4493783303730018,0.01492803923446595,0.013697857367493738
