policy_name,signal_count,long_count,short_count,median_future_return_60m,median_future_return_120m,median_future_return_240m,median_future_return_480m,positive_rate_120m,median_mfe_120m,median_mae_120m,best_expectancy_r,best_stop_atr,best_tp_atr,stop_first_rate,tp_first_rate,horizon_exit_rate,notes,policy_description,overlap_count,mean_future_return_60m,positive_rate_60m,median_mfe_60m,median_mae_60m,mean_future_return_120m,mean_future_return_240m,positive_rate_240m,median_mfe_240m,median_mae_240m,mean_future_return_480m,positive_rate_480m,median_mfe_480m,median_mae_480m
htf_1h_ema_regime_only,8261,4623,3638,-9.772965564158742e-05,-0.0003156708004509179,-0.00045802346313716935,-0.0007771693344565955,0.4649558164871081,0.0042908017024234635,0.004441421370125154,0.0283451366545181,4.0,3.0,0.06149376588790703,0.17068151555501757,0.7678247185570755,positive_bracket_expectancy,1h close/EMA50/EMA200 regime baseline.,104227,-0.00014584777543721924,0.48202396804260983,0.002830056516510693,0.0030865972661567875,-0.00027134144607635145,-0.00045111542152500954,0.46544001936811524,0.0077032617099623835,0.007063832744367726,-0.0006426484372940975,0.46604527296937415,0.013993638676844666,0.01122844029027359
htf_1h_ema_15m_ema_structure,4726,2739,1987,-0.00022835459164038951,-0.0004510123524459897,-0.000669640235478608,-0.0009465073615697039,0.4526026237833263,0.004579614688804856,0.004691602059304023,0.05378016414166828,1.5,3.0,0.31316123571730853,0.16737198476512907,0.5194667795175624,positive_bracket_expectancy,1h regime plus 15m EMA21/EMA55 structure.,42567,-0.0002997750195483283,0.4669911129919594,0.0029309499433535224,0.003284926223607265,-0.00037004056767437656,-0.0004931434837619682,0.4506982649174778,0.00879638005401695,0.007263682327778742,-0.0004924574209734346,0.45789250952179433,0.01506751486331781,0.011279886093946423
htf_1h_ema_15m_vwap_structure,5076,2934,2142,-0.00020187726936810035,-0.00039044452290681875,-0.0006203125868747827,-0.001141825992448775,0.4600078802206462,0.004518669041084222,0.004623946020463066,0.04451096047601339,1.5,3.0,0.3120567375886525,0.15878644602048858,0.529156816390859,positive_bracket_expectancy,1h regime plus 15m VWAP and EMA structure.,49669,-0.0001932807096172865,0.4718282111899133,0.00295535228113053,0.0032556747249765094,-0.0002620074189333887,-0.00039262191614362007,0.4523246650906225,0.00840737670727365,0.00723896133083235,-0.0005170763386025757,0.45271867612293143,0.014936427345901393,0.011330746075273124
htf_1h_ema_15m_donchian_structure,4154,2353,1801,-0.0004203916700918908,-0.0005908986134305905,-0.0007007795539730188,-0.0011152013112117332,0.4398170438131921,0.0044086750246356,0.004964889711635001,0.024830849894330723,4.0,3.0,0.0594607607125662,0.1851227732306211,0.7554164660568127,positive_bracket_expectancy,1h regime plus 15m Donchian mid/slope structure.,28614,-0.0006121801785527904,0.44824265767934524,0.0028067905247267655,0.0034239870306622677,-0.0008029785215272208,-0.0010246340490610887,0.4467982667308618,0.008056399383085777,0.007416761096852742,-0.001070829951287338,0.45377948964853154,0.014455999343091386,0.011285627331458048
htf_1h_15m_structure_with_vol_cap,2938,1786,1152,-0.00013654521858724733,-0.0002859073461652928,-0.0005769269098696572,-0.0005664364978686387,0.4628999319264806,0.003833057158750486,0.004136779445645611,0.08839159870004684,1.5,3.0,0.33253914227365555,0.19673247106875424,0.4707283866575902,positive_bracket_expectancy,15m EMA structure with loose volatility cap.,18166,-6.09167464337294e-05,0.4690265486725664,0.002477858641047437,0.0028916705948865973,-0.00015802143385032163,-0.0002929138645590672,0.45643294758339004,0.00800136167398724,0.006499061037862797,-8.183793607318043e-05,0.4714091218515997,0.014721297835975533,0.010645073360964152
htf_1h_15m_structure_strict_vol_cap,1863,1174,689,-0.00027036638805066904,-0.00036410632935302,-0.0006223892907232242,-0.0004777638587635247,0.44605475040257647,0.0034438853464258123,0.003944082709048113,0.07617220199913559,1.5,4.0,0.3746645195920558,0.15190552871712293,0.47342995169082125,positive_bracket_expectancy,15m EMA structure with strict volatility cap.,8548,-0.00028229942711057864,0.4524959742351047,0.0021829787234042275,0.0027277531568405955,-0.0003252848929361435,-0.0003603520695180313,0.44390767579173374,0.006764059458918004,0.0061851503759399185,2.0381127254731458e-05,0.47289318303811056,0.01434842018384952,0.010656913752413733
htf_1h_15m_structure_no_overextension,2881,1700,1181,-8.633782012612556e-05,-0.0002570131787608121,-0.000523361210409079,-0.0006055766104724469,0.47032280458174247,0.004412055039099139,0.004336216065810694,0.06154405658607223,2.0,3.0,0.19229434224227698,0.17216244359597363,0.6355432141617494,positive_bracket_expectancy,15m EMA structure with overextension filters.,15708,2.74849156119549e-05,0.48559527941686914,0.0028702127659574472,0.0030250603064394532,-0.00010969796969989986,-0.00017201565576022463,0.46303366886497743,0.008755234107346688,0.006778719754079177,-0.0002453637700616493,0.4678930926761541,0.015193057981821134,0.011117677764310496
htf_1h_15m_structure_5m_pullback_reclaim,1352,798,554,-0.0001388120700236417,-0.0002966939377280764,-0.0004927069176332566,-0.0006370087151878479,0.4681952662721893,0.004516670768993536,0.0044225459808807654,0.06906274489254487,1.5,4.0,0.30547337278106507,0.11168639053254438,0.5828402366863905,positive_bracket_expectancy,1h/15m trend with 5m pullback then EMA21 reclaim.,3740,3.0588902922626985e-05,0.47485207100591714,0.0029029027584690503,0.0031458535787395325,5.51741015144477e-05,-9.701061415250534e-05,0.46523668639053256,0.008888128895254033,0.006686815282999359,-0.00016448492929753758,0.47411242603550297,0.01510250064882801,0.011039176311205268
htf_1h_15m_structure_5m_pullback_reclaim_vol_cap,836,525,311,-7.586133023479436e-05,-0.0002637147295594944,-0.0004047192185797077,-0.00035828964075168557,0.4677033492822967,0.0038066890311360124,0.0038841012985060264,0.12516789059573777,1.5,4.0,0.32894736842105265,0.1423444976076555,0.5287081339712919,positive_bracket_expectancy,5m pullback reclaim with loose volatility cap.,1591,0.00013621613814386252,0.48325358851674644,0.002452802563925216,0.0025486119897157322,0.00011412816131369103,8.096326510950262e-05,0.46172248803827753,0.0076763467613045755,0.006351724354416055,0.0003109073646998723,0.4820574162679426,0.014930654583491187,0.01004874821895596
htf_1h_15m_structure_5m_pullback_reclaim_strict,412,270,142,-0.00017224530081411116,-0.00018005411526661463,-0.000594550894069179,-0.0006208216776996678,0.47572815533980584,0.003133212817781228,0.0033207496364403566,0.15071709494280197,1.5,4.0,0.33495145631067963,0.16262135922330098,0.5024271844660194,positive_bracket_expectancy,5m pullback reclaim with volatility and overextension filters.,517,-2.589183527158933e-06,0.4538834951456311,0.0021984440642310865,0.0022907491459664975,0.00010909916238737894,-9.727801287756147e-05,0.4320388349514563,0.006067776355812349,0.006144872491988529,0.0001128798722274768,0.46116504854368934,0.013454724707406607,0.010521107906243166
