variant,trades,pnl_overall,sharpe_overall,win_rate,pf,max_dd,avg_trade,pnl_oos,sharpe_oos,win_oos
"baseline (fixed 1.0 ATR, max_hold=60)",1148,-2564.001785648076,-0.25,16.5,0.92,-728.18,-2.23,669.5440672560998,0.39,22.1
"chandelier (1.0 ATR, max_hold=60)",2260,-3884.01995935041,-0.5,30.9,0.87,-714.6,-1.72,-2668.93185034662,-2.69,31.4
"chandelier (1.5 ATR, max_hold=60)",1933,-5179.696864026967,-0.66,32.4,0.85,-830.63,-2.68,-3336.6949301916916,-3.15,28.9
"chandelier (2.0 ATR, max_hold=60)",1614,-3554.6189033942314,-0.44,32.7,0.9,-839.08,-2.2,-2865.8064930024543,-2.54,32.3
"chandelier (2.5 ATR, max_hold=60)",1353,-4934.536338647086,-0.62,34.7,0.87,-901.67,-3.65,-3390.745138470664,-2.71,33.1
"chandelier (3.0 ATR, max_hold=60)",1142,-6169.290196236424,-0.82,34.6,0.83,-909.4,-5.4,-1404.6212955117603,-1.1,34.8
"chandelier (1.0 ATR, max_hold=40)",2260,-3884.01995935041,-0.5,30.9,0.87,-714.6,-1.72,-2668.93185034662,-2.69,31.4
"chandelier (1.0 ATR, max_hold=30)",2260,-3884.01995935041,-0.5,30.9,0.87,-714.6,-1.72,-2668.93185034662,-2.69,31.4
"chandelier (1.0 ATR, max_hold=20)",2260,-3884.01995935041,-0.5,30.9,0.87,-714.6,-1.72,-2668.93185034662,-2.69,31.4
"chandelier (1.0 ATR, max_hold=12)",2264,-3784.0257402393513,-0.48,31.0,0.88,-706.77,-1.67,-2672.8860090579337,-2.68,31.5
"chandelier (1.5 ATR, max_hold=40)",1933,-5144.064509224796,-0.66,32.4,0.85,-827.07,-2.66,-3301.0625753895206,-3.1,28.9
"chandelier (1.5 ATR, max_hold=30)",1933,-5140.482425245673,-0.66,32.4,0.85,-829.84,-2.66,-3328.776147612513,-3.14,28.9
"chandelier (1.5 ATR, max_hold=20)",1938,-5226.761567782684,-0.67,32.4,0.85,-827.1,-2.7,-3343.639033036397,-3.16,28.9
"chandelier (1.5 ATR, max_hold=12)",1997,-5327.09284675546,-0.68,32.9,0.85,-851.71,-2.67,-3229.9285974945224,-3.03,31.2
"chandelier (2.0 ATR, max_hold=40)",1615,-3190.719559139158,-0.37,32.6,0.91,-840.83,-1.98,-3101.2517594070646,-2.74,31.9
"chandelier (2.0 ATR, max_hold=30)",1619,-3984.6527782855433,-0.52,32.7,0.89,-826.89,-2.46,-2892.692315227408,-2.52,32.2
"chandelier (2.0 ATR, max_hold=20)",1654,-4398.060040048931,-0.55,33.3,0.88,-873.57,-2.66,-2945.231465609243,-2.46,32.2
"chandelier (2.0 ATR, max_hold=12)",1790,-4194.910090518109,-0.52,35.6,0.89,-927.09,-2.34,-3086.14686963023,-2.46,35.6
"chandelier (2.5 ATR, max_hold=40)",1366,-3993.0801770433013,-0.46,34.6,0.89,-859.91,-2.92,-3348.984361369721,-2.64,32.2
"chandelier (2.5 ATR, max_hold=30)",1393,-5475.823924359753,-0.7,35.0,0.86,-839.1,-3.93,-3714.2883391110763,-3.14,32.6
"chandelier (2.5 ATR, max_hold=20)",1479,-6781.6654859763985,-0.81,35.2,0.83,-903.24,-4.59,-3682.0104821620603,-2.81,32.7
"chandelier (2.5 ATR, max_hold=12)",1664,-5592.822174234996,-0.66,39.9,0.86,-964.01,-3.36,-3535.497601265517,-2.6,38.4
"chandelier (3.0 ATR, max_hold=40)",1169,-4057.8741235101747,-0.48,35.4,0.89,-823.06,-3.47,-1361.526601553812,-1.04,36.6
"chandelier (3.0 ATR, max_hold=30)",1225,-7749.082667771869,-1.02,35.4,0.8,-1020.61,-6.33,-2727.061071261651,-2.23,35.7
"chandelier (3.0 ATR, max_hold=20)",1340,-7908.510160038045,-0.98,38.8,0.81,-1044.82,-5.9,-2751.099239829846,-1.92,40.1
"chandelier (3.0 ATR, max_hold=12)",1575,-4556.002054447563,-0.52,43.6,0.89,-939.76,-2.89,-2064.5920845334617,-1.48,44.9
