policy_name,entry_count,skipped_count,avg_return,median_return,win_rate,avg_r,median_r,expectancy_r,max_drawdown_r_est,best_horizon,best_stop_atr,best_tp_atr,stop_first_rate,tp_first_rate,horizon_exit_rate,notes
momentum_followthrough_3bar,548,1168,-0.00030398136097208544,-0.0009264877168943034,0.19525547445255476,0.13147328513135773,-1.0,0.13147328513135773,66.0,120,1.0,5.0,0.8029197080291971,0.1843065693430657,0.012773722627737226,Wait three 1m bars; enter only after at least 0.25 ATR favorable follow-through.
avoid_stop_first_profile,675,1041,-0.00023912021974116138,-0.0007729086368157222,0.29777777777777775,0.07173191127360856,-1.0,0.07173191127360856,69.37075181897895,15,1.0,5.0,0.6459259259259259,0.08444444444444445,0.2696296296296296,Use the first three 1m bars as a gate; skip early 1 ATR adverse-first profiles.
delayed_confirm_3bar,702,1014,-0.0002761589944606868,-0.0007887744299729057,0.2706552706552707,0.06305241387734647,-1.0,0.06305241387734647,75.3512342912195,15,1.0,5.0,0.6737891737891738,0.09829059829059829,0.22792022792022792,Wait three 1m bars; enter at the third bar close only if close still confirms the breakout side.
delayed_confirm_1bar,736,980,-0.00031747380964435175,-0.000832091530833262,0.27717391304347827,0.024117229626028434,-1.0,0.024117229626028434,89.0976844962328,15,1.0,5.0,0.6766304347826086,0.08831521739130435,0.23505434782608695,Wait one 1m bar; enter at that bar close only if close still confirms the breakout side.
skip_large_breakout_gt_1atr,1412,304,-0.0007459129819139435,-0.0004292417015020727,0.4348441926345609,-0.03331133037779921,-0.08439362980681402,-0.03331133037779921,57.428942284302934,15,4.0,5.0,0.11898016997167139,0.09206798866855524,0.7889518413597734,"Immediate entry, but skip breakout_distance_atr > 1."
skip_large_breakout_gt_2atr,1577,139,-0.0007845664644623281,-0.00046221113216875036,0.4318325935320228,-0.03856123354578765,-0.09144920668857257,-0.03856123354578765,72.87499876791793,15,4.0,5.0,0.12999365884590997,0.10082435003170577,0.7691819911223843,"Immediate entry, but skip breakout_distance_atr > 2."
small_to_mid_breakout_0_25_to_1atr,598,1118,-0.0008401944584683693,-0.0004953894235885423,0.431438127090301,-0.0437095186482984,-0.107876002386809,-0.0437095186482984,29.679635430028355,15,4.0,5.0,0.13712374581939799,0.10535117056856187,0.7575250836120402,Immediate entry only when 0.25 <= breakout_distance_atr <= 1.
immediate_baseline,1716,0,-0.000909998696753126,-0.0005267001510506147,0.4201631701631702,-0.05769939679573209,-0.11358239461465344,-0.05769939679573209,111.07609836768712,15,4.0,5.0,0.15034965034965034,0.10664335664335664,0.743006993006993,Signal time immediate entry at trace price.
pullback_to_breakout_level_10bar,1405,311,-0.0009898894932343966,-0.00053205668277123,0.38576512455516015,-0.08964564019574074,-0.11172202511330896,-0.08964564019574074,126.6609101462996,15,4.0,5.0,0.13807829181494663,0.06832740213523132,0.7935943060498221,Wait up to ten 1m bars for a pullback touch of the original breakout level.
pullback_to_breakout_level_5bar,1321,395,-0.0010488566858601728,-0.0005555555555555556,0.3785011355034065,-0.09465469127118849,-0.1184711933757347,-0.09465469127118849,125.6228849481819,15,4.0,5.0,0.13701741105223317,0.06813020439061317,0.7948523845571537,Wait up to five 1m bars for a pullback touch of the original breakout level.
