datetime,vt_orderid,symbol,exchange,type,direction,offset,price,volume,traded,status,gateway_name,orderid,reference
2026-01-01 01:54:00+08:00,BACKTESTING.1,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,89423.0,3.72,3.72,全部成交,BACKTESTING,1,
2026-01-01 02:08:00+08:00,BACKTESTING.2,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,89399.8,3.72,3.72,全部成交,BACKTESTING,2,
2026-01-01 02:19:00+08:00,BACKTESTING.3,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,89123.7,3.74,3.74,全部成交,BACKTESTING,3,
2026-01-01 02:26:00+08:00,BACKTESTING.4,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,89014.5,3.74,3.74,全部成交,BACKTESTING,4,
2026-01-01 03:05:00+08:00,BACKTESTING.5,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,88999.0,3.74,3.74,全部成交,BACKTESTING,5,
2026-01-01 03:09:00+08:00,BACKTESTING.6,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,88938.1,3.74,3.74,全部成交,BACKTESTING,6,
2026-01-01 03:25:00+08:00,BACKTESTING.7,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,88884.8,3.75,3.75,全部成交,BACKTESTING,7,
2026-01-01 03:27:00+08:00,BACKTESTING.8,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,88820.2,3.75,3.75,全部成交,BACKTESTING,8,
2026-01-01 03:30:00+08:00,BACKTESTING.9,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,88656.6,3.75,3.75,全部成交,BACKTESTING,9,
2026-01-01 03:32:00+08:00,BACKTESTING.10,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,88600.2,3.75,3.75,全部成交,BACKTESTING,10,
2026-01-01 03:35:00+08:00,BACKTESTING.11,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,88502.5,3.76,3.76,全部成交,BACKTESTING,11,
2026-01-01 03:46:00+08:00,BACKTESTING.12,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,88446.5,3.76,3.76,全部成交,BACKTESTING,12,
2026-01-01 03:49:00+08:00,BACKTESTING.13,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,88367.3,3.77,3.77,全部成交,BACKTESTING,13,
2026-01-01 03:55:00+08:00,BACKTESTING.14,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,88260.3,3.77,3.77,全部成交,BACKTESTING,14,
2026-01-01 03:58:00+08:00,BACKTESTING.15,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,88247.1,3.77,3.77,全部成交,BACKTESTING,15,
2026-01-01 04:01:00+08:00,BACKTESTING.16,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,88105.3,3.77,3.77,全部成交,BACKTESTING,16,
2026-01-01 04:04:00+08:00,BACKTESTING.17,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,88019.3,3.78,3.78,全部成交,BACKTESTING,17,
2026-01-01 04:15:00+08:00,BACKTESTING.18,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,87959.6,3.78,3.78,全部成交,BACKTESTING,18,
2026-01-01 04:18:00+08:00,BACKTESTING.19,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,87898.0,3.79,3.79,全部成交,BACKTESTING,19,
2026-01-01 04:20:00+08:00,BACKTESTING.20,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,87800.1,3.79,3.79,全部成交,BACKTESTING,20,
2026-01-01 04:23:00+08:00,BACKTESTING.21,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,87795.4,3.79,3.79,全部成交,BACKTESTING,21,
2026-01-01 04:28:00+08:00,BACKTESTING.22,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,87500.3,3.79,3.79,全部成交,BACKTESTING,22,
2026-01-01 05:07:00+08:00,BACKTESTING.23,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,87399.6,3.81,3.81,全部成交,BACKTESTING,23,
2026-01-01 05:19:00+08:00,BACKTESTING.24,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,87380.4,3.81,3.81,全部成交,BACKTESTING,24,
2026-01-01 06:34:00+08:00,BACKTESTING.25,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,87090.1,3.82,3.82,全部成交,BACKTESTING,25,
2026-01-01 06:41:00+08:00,BACKTESTING.26,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,86834.7,3.82,3.82,全部成交,BACKTESTING,26,
2026-01-01 07:06:00+08:00,BACKTESTING.27,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,86441.8,3.85,3.85,全部成交,BACKTESTING,27,
2026-01-01 07:07:00+08:00,BACKTESTING.28,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,86438.3,3.85,3.85,全部成交,BACKTESTING,28,
2026-01-01 07:29:00+08:00,BACKTESTING.29,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,86046.0,2.26,2.26,全部成交,BACKTESTING,29,
2026-01-01 07:37:00+08:00,BACKTESTING.30,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,86342.4,2.26,2.26,全部成交,BACKTESTING,30,
2026-01-01 09:55:00+08:00,BACKTESTING.31,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,86577.8,3.85,3.85,全部成交,BACKTESTING,31,
2026-01-01 10:25:00+08:00,BACKTESTING.32,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,86490.4,3.85,3.85,全部成交,BACKTESTING,32,
2026-01-01 12:40:00+08:00,BACKTESTING.33,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,86419.8,3.85,3.85,全部成交,BACKTESTING,33,
2026-01-01 12:55:00+08:00,BACKTESTING.34,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,86400.3,3.85,3.85,全部成交,BACKTESTING,34,
2026-01-01 13:31:00+08:00,BACKTESTING.35,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,86413.6,3.85,3.85,全部成交,BACKTESTING,35,
2026-01-01 13:38:00+08:00,BACKTESTING.36,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,86486.6,3.85,3.85,全部成交,BACKTESTING,36,
2026-01-01 14:36:00+08:00,BACKTESTING.37,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,86455.2,3.85,3.85,全部成交,BACKTESTING,37,
2026-01-01 15:06:00+08:00,BACKTESTING.38,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,86400.2,3.85,3.85,全部成交,BACKTESTING,38,
2026-01-01 15:22:00+08:00,BACKTESTING.39,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,86319.5,3.86,3.86,全部成交,BACKTESTING,39,
