feature,category,count,median_future_return_60m,mean_future_return_60m,positive_rate_60m,median_mfe_atr,median_mae_atr,stop_first_rate,tp_first_rate,meets_min_count
hour,0,115,0.0009612266763489,-0.00011280098498572316,0.5565217391304348,3.31528731392098,3.542308451971337,0.6521739130434783,0.34782608695652173,True
hour,1,108,-0.00021875300506668118,0.00016734774095678042,0.4722222222222222,3.044933293515248,3.1125147376530293,0.5740740740740741,0.4166666666666667,True
hour,10,94,-0.00065446485275355,-0.0011640962197479543,0.4148936170212766,2.9760699839068794,3.621006217894812,0.6808510638297872,0.3191489361702128,True
hour,11,90,-0.0007865274110718,-0.0017512832659344459,0.4444444444444444,2.183352281403735,3.599887514599869,0.6555555555555556,0.3111111111111111,True
hour,12,98,-0.0010196877050976999,-0.0014163489662558858,0.3877551020408163,3.724173547243514,3.860029289663406,0.6224489795918368,0.3673469387755102,True
hour,13,83,-0.0016217263925861,-0.0019538499541678876,0.3253012048192771,2.19331921141038,3.0052413962824236,0.6144578313253012,0.3855421686746988,True
hour,14,69,-0.0002830585061292,0.0002783575638514668,0.463768115942029,1.4379934862699855,2.461053469832377,0.7101449275362319,0.2608695652173913,True
hour,15,63,-0.0004937041600134,-0.00028331200567218996,0.4126984126984127,2.7273186414390413,3.2623520949672207,0.6666666666666666,0.3333333333333333,True
hour,16,64,-0.00281197214147155,-0.002668280259539228,0.34375,1.636826663424077,4.501289499816537,0.734375,0.265625,True
hour,17,51,-0.000438459682308,-0.0011881752281563752,0.43137254901960786,2.665465050239194,3.086154971855359,0.6666666666666666,0.3137254901960784,True
hour,18,34,-0.00245616915422555,-0.002379873110243551,0.29411764705882354,1.016023057944095,3.6050577575824687,0.8529411764705882,0.14705882352941177,False
hour,19,31,-0.0002581311306143,-0.0002594151061787647,0.4838709677419355,2.9696682756814363,3.262020791170419,0.6451612903225806,0.3548387096774194,False
hour,2,94,-0.00119468728192865,-0.0019145253207046085,0.40425531914893614,2.308019935421121,3.4642124761349,0.7340425531914894,0.2553191489361702,True
hour,20,30,-0.0019558825559351,-0.00204234102128834,0.3333333333333333,2.5730345757919526,3.3177478082168443,0.7666666666666667,0.23333333333333334,False
hour,21,14,-0.0030834494541814497,-0.0033474886227969716,0.42857142857142855,2.1493688205332617,3.1780901458653044,0.6428571428571429,0.35714285714285715,False
hour,22,17,-0.0010820350663403,-0.001517596146779341,0.35294117647058826,2.2616199040830427,3.4494509876466086,0.8235294117647058,0.17647058823529413,False
hour,23,14,-0.00332327280959175,-0.0018094704644179497,0.2857142857142857,2.0359660211920088,4.468565075649252,0.9285714285714286,0.07142857142857142,False
hour,3,101,-0.0003668554466882,0.00099320200917728,0.48514851485148514,1.8211254543540214,2.624341565820864,0.5643564356435643,0.38613861386138615,True
hour,4,89,-0.0016920907247552,-0.0033543685300118048,0.4157303370786517,1.9978138325641313,2.9079993566107234,0.6067415730337079,0.38202247191011235,True
hour,5,77,-0.0012496032723096,-0.0021986076589398276,0.33766233766233766,1.7568998507871452,3.016763531761839,0.7532467532467533,0.24675324675324675,True
hour,6,93,-0.0009280404203488,-0.0011438684406219338,0.41935483870967744,1.4589898659480716,2.786979164961987,0.7204301075268817,0.27956989247311825,True
hour,7,84,-0.00112888900315775,-0.0007406782846376621,0.36904761904761907,2.256658300087696,2.8658146196102123,0.6666666666666666,0.3333333333333333,True
hour,8,95,-0.0030609757198709,-0.004272870580728594,0.2631578947368421,1.3583210495028575,4.095255385035914,0.7789473684210526,0.22105263157894736,True
hour,9,108,-0.00011105069893900731,0.000288854220773544,0.48148148148148145,2.904910416550016,2.646584306864339,0.6018518518518519,0.37962962962962965,True
weekday,0,257,-0.00088991963756,-0.0017896673183081357,0.44357976653696496,2.7646018639990535,3.7085624351959567,0.6459143968871596,0.3463035019455253,True
weekday,1,256,-0.00134488856639335,-0.0007161739909685982,0.37109375,1.9443179531311816,3.4537443846255664,0.70703125,0.28515625,True
weekday,2,235,-2.941185121089909e-06,-5.138033158869452e-05,0.4978723404255319,2.901656030895648,2.829364186155246,0.6085106382978723,0.39148936170212767,True
weekday,3,245,-0.0007864639089928,-0.0009676380617768839,0.4489795918367347,2.787825766862796,3.0365273811278075,0.6612244897959184,0.3306122448979592,True
weekday,4,238,-0.0007431011090796,-0.0014458184848761073,0.41596638655462187,2.1847095730019186,3.0569692897912213,0.6974789915966386,0.28991596638655465,True
weekday,5,238,-0.00112310708540895,-0.0014691014648546712,0.3907563025210084,2.1399436645226544,3.625422746681999,0.6932773109243697,0.3025210084033613,True
weekday,6,247,-0.0009634079547165,-0.0022095915286490823,0.32793522267206476,1.3528049234785053,3.255455186348227,0.6842105263157895,0.2874493927125506,True
is_weekend,False,1231,-0.0007864639089928,-0.0010044967871261942,0.4346060113728676,2.5278634690940844,3.1450526611001624,0.6645004061738424,0.3281884646628757,True
is_weekend,True,485,-0.001015522994342,-0.00184621702311698,0.35876288659793815,1.734049682511625,3.4234518469126716,0.688659793814433,0.2948453608247423,True
direction,long,804,-0.00093047679524615,-0.0015062452126327688,0.41044776119402987,2.228354584885003,3.4744023908869544,0.677860696517413,0.31467661691542287,True
direction,short,912,-0.00092028547946525,-0.0010097912831220771,0.4155701754385965,2.410725083883844,3.088398697189232,0.6655701754385965,0.3223684210526316,True
regime,long,804,-0.00093047679524615,-0.0015062452126327688,0.41044776119402987,2.228354584885003,3.4744023908869544,0.677860696517413,0.31467661691542287,True
regime,short,912,-0.00092028547946525,-0.0010097912831220771,0.4155701754385965,2.410725083883844,3.088398697189232,0.6655701754385965,0.3223684210526316,True
