hour,entry_count,future_return_5m_mean,future_return_5m_median,mfe_5m_mean,mfe_5m_median,mae_5m_mean,mae_5m_median,future_return_5m_positive_rate,future_return_15m_mean,future_return_15m_median,mfe_15m_mean,mfe_15m_median,mae_15m_mean,mae_15m_median,future_return_15m_positive_rate,future_return_30m_mean,future_return_30m_median,mfe_30m_mean,mfe_30m_median,mae_30m_mean,mae_30m_median,future_return_30m_positive_rate,future_return_60m_mean,future_return_60m_median,mfe_60m_mean,mfe_60m_median,mae_60m_mean,mae_60m_median,future_return_60m_positive_rate,future_return_120m_mean,future_return_120m_median,mfe_120m_mean,mfe_120m_median,mae_120m_mean,mae_120m_median,future_return_120m_positive_rate,mfe_atr_median,mfe_atr_mean,mae_atr_median,mae_atr_mean,take_profit_first_rate,stop_first_rate
0,115,-0.0015897352533457045,-0.0004699078778759273,0.001899385663941329,0.0008038706219912617,0.0034728367368740657,0.001496246485110544,0.40869565217391307,-0.0022252549507688862,-0.0003221503990750095,0.0032208146435930493,0.0017857501153715795,0.005563293035810817,0.00224196489819137,0.4608695652173913,-0.0011702521674008585,4.32004695443271e-05,0.005467479537469274,0.0035667931416352968,0.006859483859270148,0.003342926618343855,0.5043478260869565,-0.00011280098498571836,0.0009612266763489529,0.007953093513159313,0.005083272424299847,0.008290848755982965,0.005524813818884902,0.5565217391304348,-0.0003423839895742532,0.00018528379788013583,0.010304513764555483,0.007762298874209573,0.010318078929768718,0.00775221090346771,0.5217391304347826,4.449094454797142,6.97575812660287,4.5268775685313765,5.677049427795771,0.34782608695652173,0.6521739130434783
1,108,0.000294117285822601,-6.936376957597865e-05,0.003014701927867085,0.0010923090556842297,0.0025432615544774277,0.001348888520353189,0.46296296296296297,0.0005798341403689914,0.0001839517391411704,0.004318072361085546,0.0017326837024814147,0.003948925539148686,0.001992371844397877,0.5185185185185185,6.025726665469275e-05,-0.0003411782816037292,0.005468966977189941,0.0022021928621998033,0.005299074076799882,0.002809411753014402,0.46296296296296297,0.00016734774095677807,-0.00021875300506669205,0.00702006425341142,0.003562675695208009,0.007737496269094285,0.004621612481941484,0.4722222222222222,-0.0001251318105529861,-0.0006170708911467219,0.00931033497461557,0.006026097295491519,0.009133176965119037,0.006822673027977953,0.48148148148148145,4.374982000615606,6.555480279994293,4.740828057802842,6.026458046303212,0.4166666666666667,0.5740740740740741
2,94,-0.0009360629374898038,-0.0005335270500475915,0.0020595055554462737,0.0006764083264851542,0.0031563936392806622,0.001594230026013724,0.35106382978723405,-0.00116857312105458,-0.0005301791621368921,0.0034738712801297192,0.0011200059630864405,0.005034639701876555,0.0025572185700509266,0.39361702127659576,-0.0020150987811426587,-0.0011533924684074834,0.004492205334753947,0.0019435399327813413,0.0066087569248005655,0.003624686616482964,0.3829787234042553,-0.001914525320704618,-0.0011946872819286764,0.005803101222884519,0.0033575385333860586,0.00804869202468108,0.0046811554801935475,0.40425531914893614,-0.0009418104987027779,-0.000271984059139107,0.00881033287697657,0.005193530936350351,0.010216464856915847,0.006097715550676119,0.4574468085106383,3.6062643985030602,7.375827879091336,4.424084137808395,6.774158057670926,0.2553191489361702,0.7340425531914894
3,101,9.056251001426607e-05,0.0,0.0017378146750271432,0.0007042317375785585,0.002075419830941444,0.0009264379928845128,0.49504950495049505,5.7489802218403954e-05,0.00013447329691176546,0.0026777474513988405,0.0012895299145298834,0.002814885522359579,0.001713850521458781,0.5445544554455446,0.0003659211530381431,-5.683086308515124e-05,0.0036338286514408253,0.0016729718369061816,0.003370341101564137,0.0020344320281145876,0.48514851485148514,0.0009932020091772832,-0.00036685544668825623,0.00547106888987237,0.00200277906161064,0.0045046483037482835,0.00303583589759186,0.48514851485148514,0.00012991805875673776,-0.0006671620273136394,0.007954244478340408,0.0038489993634943337,0.006527735600748904,0.003911707180776753,0.45544554455445546,3.4680079854155554,11.0049057564172,3.4145120978904933,5.301029843101209,0.38613861386138615,0.5643564356435643
4,89,-0.0008461227384173641,-0.00012049967197314766,0.0015975959876357046,0.0005452399355300021,0.00248023206269724,0.00104034016101524,0.4606741573033708,-0.0016265709952958836,-0.00017851803255276323,0.002443682877652869,0.0015876273546874282,0.004154992504796591,0.0019172478235105186,0.48314606741573035,-0.0020884179595819217,-0.0008559454862770817,0.0036958165615563693,0.0020329745899667724,0.00603395842967573,0.002533007190852207,0.449438202247191,-0.0033543685300118148,-0.001692090724755265,0.004779717458824218,0.0027254594671606057,0.008164946157511756,0.0039059248865091546,0.4157303370786517,-0.0032219054796107077,-0.0010693032716740847,0.0057219226337375485,0.0036499001271109188,0.009238743388088019,0.0050881946646857985,0.42696629213483145,2.6908625271487705,6.0510187070579935,3.5312570698648638,6.260691909056116,0.38202247191011235,0.6067415730337079
5,77,-0.000981800975066483,-0.0006137570861045396,0.0013257875715931183,0.0003797824763127368,0.0029461605161874376,0.001433809133947917,0.33766233766233766,-0.0014797332410136969,-0.0006065567935073623,0.002067661741044001,0.001102851904425269,0.003904247378199707,0.0019444642052594573,0.38961038961038963,-0.0018300861735556812,-0.001060512493753637,0.0025760730258108456,0.001361717239896528,0.004740823680290353,0.003057375759560105,0.3116883116883117,-0.0021986076589398445,-0.0012496032723096583,0.0038420586887004332,0.002069304913000245,0.0064250285835239255,0.004279102261811196,0.33766233766233766,-0.0012670747941473952,-0.000985667120732423,0.005832606027604503,0.0027705842300339875,0.008711262853714746,0.005037881570799479,0.37662337662337664,2.7878257668628845,5.23704624761078,4.5112522147453245,6.726946954340691,0.24675324675324675,0.7532467532467533
6,93,-0.0001795716384594162,-0.00027017372170305503,0.0015269391036766,0.00047424314279268475,0.001953955335834486,0.0012949636223959099,0.3763440860215054,-4.42547188365382e-05,-0.0004999096208596289,0.0026846262585980677,0.0009099952607568831,0.003381186164686416,0.0020446159862613756,0.3978494623655914,-0.0006827811677614375,-0.0008789449180014855,0.0034007162344372394,0.0013245608079153082,0.004100122573915919,0.0028075537792506765,0.3978494623655914,-0.0011438684406219403,-0.0009280404203488731,0.004139054353031966,0.0017448935245546048,0.005529833645481262,0.0035215048302801775,0.41935483870967744,-0.00322705232342955,-0.002517029459745591,0.005747526489963703,0.0022742310842873204,0.010458293687200255,0.007679558935955378,0.3548387096774194,2.508021184780182,5.287509010889426,5.924053234806732,7.355797065207383,0.27956989247311825,0.7204301075268817
7,84,-0.00022605234915015735,-0.0002460925289364119,0.0015696242999191877,0.0008634326160185566,0.0021184663870942515,0.001247774250629016,0.47619047619047616,-0.0003680746820373147,-0.00012562811130375083,0.0026159526309432455,0.0014539678261576896,0.0031671946372753895,0.001761985983519267,0.4880952380952381,-0.0003746124628104361,-0.0006460370205485079,0.004154041194012528,0.0022149690335544255,0.0047904792636066194,0.00245128308523349,0.42857142857142855,-0.0007406782846376732,-0.0011288890031578374,0.006250489052448513,0.003096772737533328,0.006605452038674651,0.004228786935302033,0.36904761904761907,-0.0042513335955438195,-0.0023198234413222664,0.006647306417535985,0.0037102704702514583,0.009323333135732855,0.006868490282546082,0.2619047619047619,2.643960082803121,5.8548417547058635,4.498026439630598,5.9891926432154765,0.3333333333333333,0.6666666666666666
8,95,-0.0005782065216468136,-0.0004617413271806857,0.002461991956950941,0.0006361785943703387,0.0034939289624951555,0.0015534901981829813,0.37894736842105264,-0.0012002940556034812,-0.0008333415309032397,0.004026103227204978,0.0009692204156102656,0.005175805197824091,0.002633387257636823,0.3473684210526316,-0.0024201803164428746,-0.0015334976689028673,0.005071395828434621,0.0013346777736402827,0.007356108047592824,0.0038389409508975685,0.23157894736842105,-0.004272870580728615,-0.0030609757198709724,0.006171800124512265,0.0019010324646939606,0.01014169293253129,0.006771281952624218,0.2631578947368421,-0.004344695718446978,-0.003573374076815095,0.007879989316143686,0.0035434979568702034,0.012788956380377097,0.010097076668505272,0.3157894736842105,2.4678758056719445,6.501519892286708,4.793254241794983,9.090513917440113,0.22105263157894736,0.7789473684210526
9,108,0.00033344762629809044,-1.1557840088835407e-06,0.002148580892699883,0.0009125304400087017,0.0018383271568057408,0.0010966848384016082,0.5,0.0007488044394423281,-0.0003163833272463411,0.0036806043262524327,0.001753388620627772,0.003004224482033019,0.0017076512185372347,0.4722222222222222,0.0013575638344109312,-3.912103166473344e-05,0.005412667540194222,0.00279369864409314,0.003995073827297655,0.002314785629153907,0.49074074074074076,0.0002888542207735398,-0.00011105069893902482,0.007444754437938237,0.004328936553219634,0.006669786104366593,0.003111002943217256,0.48148148148148145,-3.4593519523539056e-05,-0.00038920821567085806,0.009878807016032078,0.008155257835399186,0.008985041424930165,0.004969373127036559,0.48148148148148145,5.734753178363804,9.159175481729967,4.327002268680959,6.501644381488397,0.37962962962962965,0.6018518518518519
