datetime,vt_tradeid,vt_orderid,symbol,exchange,direction,offset,price,volume,gateway_name,tradeid,orderid
2026-01-01 01:55:00+08:00,BACKTESTING.1,BACKTESTING.1,BTCUSDT_SWAP_OKX,GLOBAL,多,开,89418.5,3.72,BACKTESTING,1,1
2026-01-01 02:09:00+08:00,BACKTESTING.2,BACKTESTING.2,BTCUSDT_SWAP_OKX,GLOBAL,空,平,89400.0,3.72,BACKTESTING,2,2
2026-01-01 02:20:00+08:00,BACKTESTING.3,BACKTESTING.3,BTCUSDT_SWAP_OKX,GLOBAL,空,开,89123.7,3.74,BACKTESTING,3,3
2026-01-01 02:27:00+08:00,BACKTESTING.4,BACKTESTING.4,BTCUSDT_SWAP_OKX,GLOBAL,多,平,89014.3,3.74,BACKTESTING,4,4
2026-01-01 03:06:00+08:00,BACKTESTING.5,BACKTESTING.5,BTCUSDT_SWAP_OKX,GLOBAL,空,开,88999.3,3.74,BACKTESTING,5,5
2026-01-01 03:10:00+08:00,BACKTESTING.6,BACKTESTING.6,BTCUSDT_SWAP_OKX,GLOBAL,多,平,88938.1,3.74,BACKTESTING,6,6
2026-01-01 03:26:00+08:00,BACKTESTING.7,BACKTESTING.7,BTCUSDT_SWAP_OKX,GLOBAL,空,开,88885.0,3.75,BACKTESTING,7,7
2026-01-01 03:28:00+08:00,BACKTESTING.8,BACKTESTING.8,BTCUSDT_SWAP_OKX,GLOBAL,多,平,88820.2,3.75,BACKTESTING,8,8
2026-01-01 03:31:00+08:00,BACKTESTING.9,BACKTESTING.9,BTCUSDT_SWAP_OKX,GLOBAL,空,开,88656.6,3.75,BACKTESTING,9,9
2026-01-01 03:33:00+08:00,BACKTESTING.10,BACKTESTING.10,BTCUSDT_SWAP_OKX,GLOBAL,多,平,88600.0,3.75,BACKTESTING,10,10
2026-01-01 03:36:00+08:00,BACKTESTING.11,BACKTESTING.11,BTCUSDT_SWAP_OKX,GLOBAL,空,开,88502.5,3.76,BACKTESTING,11,11
2026-01-01 03:47:00+08:00,BACKTESTING.12,BACKTESTING.12,BTCUSDT_SWAP_OKX,GLOBAL,多,平,88446.1,3.76,BACKTESTING,12,12
2026-01-01 03:50:00+08:00,BACKTESTING.13,BACKTESTING.13,BTCUSDT_SWAP_OKX,GLOBAL,空,开,88367.5,3.77,BACKTESTING,13,13
2026-01-01 03:56:00+08:00,BACKTESTING.14,BACKTESTING.14,BTCUSDT_SWAP_OKX,GLOBAL,多,平,88260.3,3.77,BACKTESTING,14,14
2026-01-01 03:59:00+08:00,BACKTESTING.15,BACKTESTING.15,BTCUSDT_SWAP_OKX,GLOBAL,空,开,88247.3,3.77,BACKTESTING,15,15
2026-01-01 04:02:00+08:00,BACKTESTING.16,BACKTESTING.16,BTCUSDT_SWAP_OKX,GLOBAL,多,平,88103.5,3.77,BACKTESTING,16,16
2026-01-01 04:05:00+08:00,BACKTESTING.17,BACKTESTING.17,BTCUSDT_SWAP_OKX,GLOBAL,空,开,88019.5,3.78,BACKTESTING,17,17
2026-01-01 04:16:00+08:00,BACKTESTING.18,BACKTESTING.18,BTCUSDT_SWAP_OKX,GLOBAL,多,平,87959.4,3.78,BACKTESTING,18,18
2026-01-01 04:19:00+08:00,BACKTESTING.19,BACKTESTING.19,BTCUSDT_SWAP_OKX,GLOBAL,空,开,87898.2,3.79,BACKTESTING,19,19
2026-01-01 04:21:00+08:00,BACKTESTING.20,BACKTESTING.20,BTCUSDT_SWAP_OKX,GLOBAL,多,平,87800.0,3.79,BACKTESTING,20,20
2026-01-01 04:24:00+08:00,BACKTESTING.21,BACKTESTING.21,BTCUSDT_SWAP_OKX,GLOBAL,空,开,87795.6,3.79,BACKTESTING,21,21
2026-01-01 04:29:00+08:00,BACKTESTING.22,BACKTESTING.22,BTCUSDT_SWAP_OKX,GLOBAL,多,平,87500.2,3.79,BACKTESTING,22,22
2026-01-01 05:08:00+08:00,BACKTESTING.23,BACKTESTING.23,BTCUSDT_SWAP_OKX,GLOBAL,空,开,87399.9,3.81,BACKTESTING,23,23
2026-01-01 05:20:00+08:00,BACKTESTING.24,BACKTESTING.24,BTCUSDT_SWAP_OKX,GLOBAL,多,平,87380.2,3.81,BACKTESTING,24,24
2026-01-01 06:35:00+08:00,BACKTESTING.25,BACKTESTING.25,BTCUSDT_SWAP_OKX,GLOBAL,空,开,87090.8,3.82,BACKTESTING,25,25
2026-01-01 06:42:00+08:00,BACKTESTING.26,BACKTESTING.26,BTCUSDT_SWAP_OKX,GLOBAL,多,平,86832.8,3.82,BACKTESTING,26,26
