exit_variant,oracle,strategy_source,policy_or_group,trade_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,funding_events_count,funding_data_complete,win_rate,profit_factor,max_drawdown,largest_symbol_pnl_share,top_5pct_trade_pnl_contribution,avg_captured_fraction,early_exit_share,late_entry_share
atr_chandelier_3x,False,csrb_v1,A,11356,-174288.5995549148,-197000.5995549148,-205903.62866751596,367662,True,0.33955618175413876,0.6776603599904948,207039.23564671198,0.7154404495121489,-1.0135639083625458,0.40848716494744564,0.6582423388517084,0.6382529059528003
atr_chandelier_3x,False,csrb_v1,B,2802,-39835.133179175056,-45439.133179175056,-47978.17711806691,81512,True,0.3386866523911492,0.6944491937006237,49326.856590027404,0.670965552328655,-1.1653042911363618,0.40716292939530363,0.6659528907922913,0.6409707351891506
atr_chandelier_3x,False,csrb_v1,C,4097,-63154.66521150401,-71348.665211504,-73804.15658756359,143780,True,0.3400048816206981,0.6586339465591698,74468.05126040644,0.7977965042529575,-0.8757874919741268,0.4045014491307002,0.6499877959482548,0.6353429338540395
atr_chandelier_3x,False,csrb_v1,D,6218,8940.431179433166,-3495.5688205668484,-8364.432823994255,220545,True,0.38050820199421037,0.9699628426496015,40677.02851406828,0.5501977618029276,-14.563293347183297,0.42844266153469307,0.6286587327114828,0.6228690897394661
atr_chandelier_3x,False,csrb_v1,E,6287,4055.476221429485,-8518.523778570514,-11435.036165424193,213904,True,0.3817400986161921,0.9605539863447095,28288.560461221976,0.5624595690612014,-11.112674840938048,0.3933466131484424,0.6696357563225703,0.6402099570542389
atr_chandelier_3x,False,trend_v3_extended,v3_1d_donchian_20_10_atr4,89,3.649710000000003,3.416564405000004,2.9866940237439947,2761,True,0.3707865168539326,1.4203325131323086,1.6797172613330988,0.5141111144326519,1.975257003829155,0.3163454511457884,0.06741573033707865,0.02247191011235955
atr_chandelier_3x,False,trend_v3_extended,v3_1d_donchian_55_20_atr5,43,-2.589309999999999,-2.7014345749999986,-3.0090752899258595,2131,True,0.3953488372093023,0.5992930767850198,3.618577717196656,1.0,-0.8145676885940992,0.22798726380705672,0.11627906976744186,0.023255813953488372
atr_chandelier_3x,False,trend_v3_extended,v3_1d_ema_50_200_atr5,162,-1.9313399999999947,-2.4344109099999938,-3.015697511267489,6744,True,0.38271604938271603,0.8486205385392857,8.045801083373686,0.9089446049581358,-3.220807744047799,0.4445317619592725,0.3333333333333333,0.25925925925925924
atr_chandelier_3x,False,trend_v3_extended,v3_4h_donchian_100_30_atr5,170,-8.325979999999998,-8.781458969999996,-9.151878338363165,4652,True,0.3411764705882353,0.6086466726801024,9.91515589480375,0.47126806883089295,-1.0031615296798284,0.5202801709811996,0.2647058823529412,0.041176470588235294
atr_chandelier_3x,False,trend_v3_extended,v3_4h_donchian_20_10_atr4,517,-7.531609999999994,-8.850536599999993,-9.578059622449869,12582,True,0.3617021276595745,0.8011693564398167,13.14382000409369,1.0,-2.448705835206192,0.5932760546425379,0.379110251450677,0.2727272727272727
