exit_variant,oracle,split,trade_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,funding_events_count,funding_data_complete,win_rate,profit_factor,max_drawdown,largest_symbol_pnl_share,top_5pct_trade_pnl_contribution,avg_captured_fraction,early_exit_share,late_entry_share
atr_chandelier_3x,False,oos_ext,16399,-337731.19252978225,-368485.1025446222,-370743.72337638226,543975,True,0.3316055857064455,0.5370186955618673,383538.1656774179,0.5863705848304842,-0.5306417771449355,0.40835794321632024,0.6553448380998841,0.6490639673150802
atr_chandelier_3x,False,train_ext,49486,-271133.78043722815,-366573.2442011582,-411097.7984618866,1499484,True,0.36410297862021584,0.8264639688218853,418464.58810213825,1.0,-2.287781776201047,0.3971952948716,0.6662288323970416,0.6273087337832922
atr_chandelier_3x,False,validation_ext,12787,-124115.86095820846,-147375.47480426345,-152771.38796041,528133,True,0.3294752482990537,0.7918910893495066,247646.61208103521,1.0,-1.8145421450004333,0.44042508398183283,0.5977164307499805,0.6426057714866662
atr_chandelier_5x,False,oos_ext,16399,-482951.3952503698,-513705.30526520975,-515715.2174841191,1118752,True,0.3371547045551558,0.5362029920073695,523479.45801066875,1.0,-0.4793852377193756,0.47160903123810133,0.5764985669857918,0.6490639673150802
atr_chandelier_5x,False,train_ext,49486,-801486.9022556031,-896926.3660195331,-983960.5473991344,2910038,True,0.3713373479367902,0.7230822292334654,1036800.7574779784,1.0,-1.2509138235662005,0.4610236503289427,0.5790728690942893,0.6273087337832922
atr_chandelier_5x,False,validation_ext,12787,-215851.67300419457,-239111.28685024957,-247370.88044537965,985297,True,0.3529365762102135,0.7606720343503861,367298.53925731016,1.0,-1.2277692316126516,0.48155394502001014,0.5532181121451474,0.6426057714866662
fixed_hold_longer_2x,False,oos_ext,16399,-67102.06643701148,-97855.97645185149,-97988.36584444928,37472,True,0.3974022806268675,0.5854570619353604,99992.01823578797,1.0,-0.6627028403371947,0.11705205886847198,0.9339593877675468,0.6490639673150802
fixed_hold_longer_2x,False,train_ext,49486,-111790.48143625841,-207229.94520018843,-207537.85934761958,98691,True,0.42236188012771286,0.6904193224350964,208112.28545318596,0.6003503613039012,-1.0877283533166964,0.11432919745438655,0.9396192862627814,0.6273087337832922
fixed_hold_longer_2x,False,validation_ext,12787,-131512.63187726517,-154772.24572332017,-154825.3086630126,36581,True,0.4129975756627825,0.43367587895313064,154847.41228088274,1.0,-0.39931605174694523,0.1433340472284439,0.9046688042543208,0.6426057714866662
fixed_hold_longer_4x,False,oos_ext,16399,-67161.6901638533,-97915.6001786933,-98172.91189905515,73191,True,0.4145374717970608,0.6521690867149156,102101.07282764808,1.0,-0.8438982081929531,0.16747156608855718,0.9083480700042685,0.6490639673150802
fixed_hold_longer_4x,False,train_ext,49486,-89236.15007260075,-184675.61383653077,-185762.36779743934,194078,True,0.4393363779654852,0.7745863751913873,186540.61916906148,1.0,-1.6343894774915038,0.16386454625170604,0.9096916299559471,0.6273087337832922
fixed_hold_longer_4x,False,validation_ext,12787,-136968.0772011965,-160227.6910472515,-160350.7806142967,72098,True,0.4216000625635411,0.48483165394550976,160350.78061429693,1.0,-0.4686951829548605,0.1970199098889634,0.8701806522249159,0.6426057714866662
