exit_variant,oracle,symbol,trade_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,funding_events_count,funding_data_complete,win_rate,profit_factor,max_drawdown,largest_symbol_pnl_share,top_5pct_trade_pnl_contribution,avg_captured_fraction,early_exit_share,late_entry_share
atr_chandelier_3x,False,BTCUSDT_SWAP_OKX.GLOBAL,26632,6132.3328119751095,-45608.78793115486,-65629.59654197018,818941,True,0.3327575848603184,0.9168646475229629,189438.65036114035,1.0,-5.068985005039811,0.39685549968162276,0.6689696605587263,0.6421598077500751
atr_chandelier_3x,False,DOGEUSDT_SWAP_OKX.GLOBAL,728,-46.54002,-49.01226797999999,-49.76593643116379,24315,True,0.33379120879120877,0.48161339936167064,51.51212135031112,1.0,-0.438302275392977,0.5494812220308106,0.38324175824175827,0.38186813186813184
atr_chandelier_3x,False,ETHUSDT_SWAP_OKX.GLOBAL,26954,-140899.29108296646,-193197.4676480914,-207136.07190903064,784759,True,0.3508941159011649,0.8157432023331753,224350.55301900496,1.0,-2.068028139615027,0.3954381905775695,0.6701417229353713,0.655301624990725
atr_chandelier_3x,False,LINKUSDT_SWAP_OKX.GLOBAL,949,-0.44638,-0.6094418549999949,-0.6867070312347374,21351,True,0.35089567966280294,0.8738035356872373,1.1603589196362785,1.0,-2.864968917223186,0.5194073147247162,0.4183350895679663,0.3150684931506849
atr_chandelier_3x,False,SOLUSDT_SWAP_OKX.GLOBAL,23409,-598166.8892542275,-643577.9442609627,-661796.7887042157,922226,True,0.3747703874578154,0.6674577278084913,677060.3837173247,1.0,-0.9575033185072074,0.42134851100154463,0.6324063394420949,0.6220684352172241
atr_chandelier_5x,False,BTCUSDT_SWAP_OKX.GLOBAL,26632,584.3178596408688,-51156.802883489174,-83784.81906619824,1737926,True,0.34259537398618206,0.9234287928956885,307517.9787950937,1.0,-5.2032255290476295,0.4575286861393118,0.5848603184139382,0.6421598077500751
atr_chandelier_5x,False,DOGEUSDT_SWAP_OKX.GLOBAL,728,-77.25785000000002,-79.73009798,-80.59535484802129,46635,True,0.3626373626373626,0.4222847870707467,84.64483653883698,1.0,-0.38590337407106046,0.6351817811398456,0.3324175824175824,0.38186813186813184
atr_chandelier_5x,False,ETHUSDT_SWAP_OKX.GLOBAL,26954,-195622.39055674063,-247920.56712186564,-275116.81603979797,1586159,True,0.38202122134006083,0.830512601134516,331525.4337475172,1.0,-2.043753301990602,0.45366296447051346,0.5967945388439564,0.655301624990725
atr_chandelier_5x,False,LINKUSDT_SWAP_OKX.GLOBAL,949,-0.43021000000000054,-0.5932718549999956,-0.7069341479482592,47264,True,0.3940990516332982,0.9145075126846341,3.00147385420141,1.0,-4.277503535212645,0.6605717572511391,0.3340358271865121,0.3150684931506849
atr_chandelier_5x,False,SOLUSDT_SWAP_OKX.GLOBAL,23409,-1305174.2097530677,-1350585.2647598027,-1388063.707933641,1596103,True,0.35708488188303644,0.5343978095047208,1446606.6449685278,1.0,-0.5400449670646396,0.4785993724858402,0.553761373830578,0.6220684352172241
fixed_hold_longer_2x,False,BTCUSDT_SWAP_OKX.GLOBAL,26632,-24867.16217789502,-76608.28292102502,-76723.89331380186,49773,True,0.39666566536497444,0.6657709387943223,78017.62242665932,1.0,-0.8387476102764797,0.10920817553992149,0.9415364974466807,0.6421598077500751
fixed_hold_longer_2x,False,DOGEUSDT_SWAP_OKX.GLOBAL,728,-6.176259999999999,-8.648507979999987,-9.14567835998557,11641,True,0.40384615384615385,0.8221632567840224,12.446510249349524,1.0,-2.721756507120942,0.5099296685614725,0.4945054945054945,0.38186813186813184
fixed_hold_longer_2x,False,ETHUSDT_SWAP_OKX.GLOBAL,26954,-55052.30048672854,-107350.47705185354,-107482.64813626083,50833,True,0.411478815760184,0.6697424624123517,109927.80773756892,1.0,-0.9011974085369433,0.10824130762830977,0.9493952660087557,0.655301624990725
fixed_hold_longer_2x,False,LINKUSDT_SWAP_OKX.GLOBAL,949,-0.6773500000000006,-0.8404118549999955,-0.9188397500766723,17538,True,0.3940990516332982,0.8338908073265149,1.5339705256432936,1.0,-2.3507774458787387,0.5913465987154656,0.422550052687039,0.3150684931506849
