policy_name,base_policy_name,atr_mult,timeframe,direction,volume,contract_size,entry_time,entry_price,exit_time,exit_price,exit_reason,holding_minutes,gross_pnl,fee,slippage,net_pnl,no_cost_net_pnl,r_multiple,mfe,mae,size,entry_signal_time,exit_signal_time,used_htf_bar_time,entry_atr,initial_risk
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,short,0.01,0.01,2026-01-01T05:14:00+08:00,87396.7,2026-01-01T22:14:00+08:00,87942.0,atr_trailing_stop,1020.0,-0.054530000000000294,0.008766935,4e-05,-0.06333693500000029,-0.054530000000000294,-0.389284922798655,0.1396699999999997,0.1103300000000003,0.01,2026-01-01T04:59:00+08:00,2026-01-01T21:59:00+08:00,2026-01-01T04:59:00+08:00,542.3357142857141,0.16270071428571423
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,long,0.01,0.01,2026-01-03T02:14:00+08:00,92274.8,2026-01-03T20:14:00+08:00,90376.1,atr_trailing_stop,1080.0,-0.1898699999999997,0.009132545,4e-05,-0.1990425449999997,-0.1898699999999997,-0.6240570332497977,0.009339999999999418,0.32919000000000087,0.01,2026-01-03T01:59:00+08:00,2026-01-03T19:59:00+08:00,2026-01-03T01:59:00+08:00,1063.164285714288,0.3189492857142865
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,long,0.01,0.01,2026-01-04T06:14:00+08:00,92333.0,2026-01-05T16:14:00+08:00,92811.2,donchian_exit,2040.0,0.04781999999999971,0.00925721,4e-05,0.03852278999999971,0.04781999999999971,0.14619496129074103,0.1971,0.0745,0.01,2026-01-04T05:59:00+08:00,2026-01-05T15:59:00+08:00,2026-01-04T05:59:00+08:00,878.3428571428584,0.2635028571428575
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,long,0.01,0.01,2026-01-06T11:14:00+08:00,94659.2,2026-01-06T16:14:00+08:00,93648.0,atr_trailing_stop,300.0,-0.10111999999999971,0.00941536,4e-05,-0.1105753599999997,-0.10111999999999971,-0.5585702265232039,0.08666999999999972,0.11591999999999972,0.01,2026-01-06T10:59:00+08:00,2026-01-06T15:59:00+08:00,2026-01-06T10:59:00+08:00,659.8714285714274,0.19796142857142823
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,short,0.01,0.01,2026-01-07T02:14:00+08:00,92764.2,2026-01-07T08:14:00+08:00,94130.0,atr_trailing_stop,360.0,-0.13658000000000028,0.009344709999999999,4e-05,-0.1459647100000003,-0.13658000000000028,-0.885957789772606,0.056469999999999715,0.15629000000000087,0.01,2026-01-07T01:59:00+08:00,2026-01-07T07:59:00+08:00,2026-01-07T01:59:00+08:00,549.1785714285714,0.16475357142857142
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,short,0.01,0.01,2026-01-08T00:14:00+08:00,93428.1,2026-01-09T11:14:00+08:00,92463.2,atr_trailing_stop,2100.0,0.09649000000000088,0.009294565000000003,4e-05,0.08715543500000088,0.09649000000000088,0.2512061487214035,0.4575300000000003,0.01965999999999913,0.01,2026-01-07T23:59:00+08:00,2026-01-09T10:59:00+08:00,2026-01-07T23:59:00+08:00,1156.4928571428577,0.3469478571428573
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,short,0.01,0.01,2026-01-12T18:14:00+08:00,91578.9,2026-01-13T09:14:00+08:00,92320.8,atr_trailing_stop,900.0,-0.07419000000000088,0.009194985000000001,4e-05,-0.08342498500000088,-0.07419000000000088,-0.3043342896303043,0.23440999999999915,0.15811000000000058,0.01,2026-01-12T17:59:00+08:00,2026-01-13T08:59:00+08:00,2026-01-12T17:59:00+08:00,913.7428571428578,0.2741228571428574
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,long,0.01,0.01,2026-01-13T23:14:00+08:00,92744.4,2026-01-15T17:14:00+08:00,96152.1,atr_trailing_stop,2520.0,0.3407700000000012,0.009444825000000002,4e-05,0.3312851750000012,0.3407700000000012,0.9964213098729252,0.5966,0.09443999999999943,0.01,2026-01-13T22:59:00+08:00,2026-01-15T16:59:00+08:00,2026-01-13T22:59:00+08:00,1108.2500000000011,0.3324750000000004
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,short,0.01,0.01,2026-01-16T03:14:00+08:00,94361.2,2026-01-17T14:14:00+08:00,94779.8,atr_trailing_stop,2100.0,-0.041860000000000584,0.009457050000000002,4e-05,-0.051357050000000584,-0.041860000000000584,-0.1694724424110879,0.10838999999999942,0.16695000000000002,0.01,2026-01-16T02:59:00+08:00,2026-01-17T13:59:00+08:00,2026-01-16T02:59:00+08:00,1010.1357142857129,0.3030407142857139
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,short,0.01,0.01,2026-01-20T16:14:00+08:00,90968.7,2026-01-21T14:14:00+08:00,91050.2,donchian_exit,1320.0,-0.008150000000000001,0.009100945,4e-05,-0.017290945,-0.008150000000000001,-0.04536468734070943,0.27121999999999974,0.20784000000000089,0.01,2026-01-20T15:59:00+08:00,2026-01-21T13:59:00+08:00,2026-01-20T15:59:00+08:00,1270.5142857142855,0.38115428571428567
