policy_name,symbol_count,trade_count,long_count,short_count,active_symbol_count,no_cost_net_pnl,net_pnl,fee_total,slippage_total,cost_drag,win_rate,profit_factor,avg_win,avg_loss,avg_trade_net_pnl,median_trade_net_pnl,max_drawdown,max_ddpercent,return_drawdown_ratio,sharpe_like,avg_holding_minutes,median_holding_minutes,top_5pct_trade_pnl_contribution,best_trade,worst_trade,largest_symbol_pnl_share,portfolio_turnover,max_concurrent_positions
v3_1d_ema_50_200_atr5,5,18,0,18,5,0.9276899999999982,0.8733676249999978,0.04664237500000001,0.00768,0.05432237500000048,0.2777777777777778,1.5535195023924908,0.49024239699999983,-0.12137264307692314,0.04852042361111099,-0.03727352750000001,1.5164978599996175,0.030329957199992347,0.5759108852288245,0.4465385179790432,20159.833333333332,5040.0,2.0450897753394552,1.786115199999999,-0.3805066300000003,0.845701898677227,93.28475000000002,3
v3_4h_donchian_55_with_risk_filters,5,9,2,7,5,0.2873299999999994,0.25589565499999956,0.024474344999999998,0.006960000000000001,0.031434344999999864,0.1111111111111111,1.2804705966605792,1.1682752699999999,-0.11404745187500004,0.028432850555555507,-0.0864747500000001,0.5476453100000072,0.010952906200000143,0.4672653090008133,0.20544821792069917,7333.222222222223,5999.0,4.565436134505691,1.1682752699999999,-0.3444112050000003,1.0,48.94869,2
v3_ensemble_core,5,99,31,68,5,-0.8628100000000007,-1.1529297650000008,0.23851976500000005,0.05159999999999999,0.29011976500000003,0.23232323232323232,0.7100955606249233,0.12278263434782613,-0.05232803098684212,-0.01164575520202021,-0.011200249999999948,2.4723475749997306,0.049434851512716885,-0.46632996778380825,-0.5894317547381441,3398.757575757576,1920.0,-2.157120924013961,1.6992196650000004,-0.3444112050000003,1.0,477.03953,3
v3_4h_donchian_100_30_atr5,5,12,5,7,4,-1.2438800000000003,-1.29117041,0.04645041000000002,0.00084,0.04729040999999978,0.3333333333333333,0.6409648146645055,0.5762630212500004,-0.44952781187500024,-0.10759753416666668,-0.04006355000000015,2.6253475650000837,0.0524929443225789,-0.4918093235399706,-0.5004017310728357,15939.916666666666,5519.5,-1.541358057454245,1.990155915000001,-1.1454822799999997,0.7382704456115703,92.90082000000001,3
v3_4h_ema_50_200_atr4,5,99,26,73,5,-1.1879300000000015,-1.4896913250000021,0.252481325,0.04928,0.30176132500000064,0.21212121212121213,0.6497271566869477,0.13158353380952387,-0.054524942756410295,-0.015047387121212143,-0.012374149999999995,2.4959017299997868,0.049908944940834817,-0.5968549591093594,-0.7530908327090292,3158.757575757576,1440.0,-1.6694793600949491,1.6992196650000004,-0.5363997600000002,1.0,504.96265,3
v3_1d_donchian_20_10_atr4,5,8,5,3,4,-1.9512800000000012,-1.9810969800000013,0.028776980000000004,0.0010400000000000001,0.029816980000000104,0.375,0.4016395331331472,0.4432594899999996,-0.6621750900000001,-0.24763712250000017,-0.07214373000000002,2.5661664700000983,0.05132332940000196,-0.7720064162477835,-0.9028304191226054,35639.875,39600.0,-0.6073837813835837,1.2032861749999988,-1.577677305,0.7963655090726546,57.553960000000004,3
v3_4h_vol_compression_donchian_breakout,5,31,15,16,5,-2.189690000000002,-2.2915965550000013,0.07890655500000002,0.022999999999999996,0.10190655499999934,0.22580645161290322,0.08658804773831413,0.031033544285714282,-0.10453464020833342,-0.07392246951612907,-0.05234785500000022,2.291596555000069,0.04583193110000138,-0.9999999999999704,-3.8326391279800576,5527.741935483871,3840.0,-0.05788171993477281,0.06836125000000004,-0.3529249749999994,1.0,157.81311,3
v3_1d_donchian_55_20_atr5,5,5,2,3,4,-2.7053000000000016,-2.726438670000001,0.020578670000000004,0.0005600000000000001,0.021138669999999582,0.4,0.19821690426841626,0.3370152324999997,-1.133489711666667,-0.5452877340000002,-0.09649089999999996,3.303978234999704,0.06607956469999407,-0.8251987380298967,-1.2745516607840401,46368.0,48960.0,-0.24506836605277432,0.6681638699999994,-1.92463374,1.0,41.15734,3
v3_4h_donchian_55_20_atr4,5,27,12,15,5,-3.2677600000000027,-3.356602480000002,0.07296248,0.01588,0.08884247999999939,0.2222222222222222,0.323288151530634,0.26726043333333327,-0.2361983371428572,-0.12431861037037045,-0.0864747500000001,3.4353046550004365,0.06870609310000873,-0.9770901905640668,-1.8672500173454214,7928.814814814815,5040.0,-0.39120183513658097,1.1682752699999999,-0.7010284800000002,1.0,145.92496,3
v3_4h_donchian_20_10_atr4,5,49,23,26,5,-3.856390000000002,-4.009793355000001,0.12468335500000001,0.02872,0.15340335499999913,0.16326530612244897,0.2906647918613688,0.20538698374999995,-0.13787534695121953,-0.08183251744897961,-0.05987269999999999,4.029669634999664,0.08059307232189897,-0.9950675162482236,-2.3579470184768794,6151.816326530612,3600.0,-0.3676993898355142,1.2212221649999997,-0.6538449000000003,0.4619569528914041,249.36671,3
