policy_name,symbol,trade_count,long_count,short_count,active_symbol_count,no_cost_net_pnl,net_pnl,fee_total,slippage_total,cost_drag,win_rate,profit_factor,avg_win,avg_loss,avg_trade_net_pnl,median_trade_net_pnl,max_drawdown,max_ddpercent,return_drawdown_ratio,sharpe_like,avg_holding_minutes,median_holding_minutes,top_5pct_trade_pnl_contribution,best_trade,worst_trade,largest_symbol_pnl_share,portfolio_turnover,max_concurrent_positions
v3_1d_donchian_20_10_atr4,BTCUSDT_SWAP_OKX.GLOBAL,22,13,9,1,-1.5648800000000005,-1.696340329999999,0.13058033000000002,0.00088,0.13146032999999857,0.3181818181818182,0.8060871828251,1.0073733264285714,-0.5831969076666668,-0.07710637863636359,-0.29596571250000014,4.297233669999514,0.08592233511531815,-0.39475170778883684,-0.3992859382342429,53410.90909090909,28800.0,-2.31902478260362,2.4044284350000016,-1.3098171649999995,1.0,261.16066,1
v3_1d_donchian_20_10_atr4,DOGEUSDT_SWAP_OKX.GLOBAL,10,5,5,1,1.9385000000000003,1.9049607500000003,0.01353925,0.020000000000000004,0.03353925000000002,0.5,2.169035239160849,0.7068952000000001,-0.32590304999999997,0.19049607500000004,0.07519237499999991,1.4332704999997077,0.0286520974103569,1.3291006477844822,0.8834622161870276,83663.9,55440.0,0.7932323539999445,1.5110765000000002,-1.0519457499999998,1.0,27.0785,1
v3_1d_donchian_20_10_atr4,ETHUSDT_SWAP_OKX.GLOBAL,18,9,9,1,1.3996300000000015,1.3508547950000014,0.048055205000000004,0.00072,0.0487752050000001,0.4444444444444444,1.5684257456987882,0.4659173725,-0.23764841849999985,0.07504748861111118,-0.08901529249999995,1.0159924700001284,0.020310235155096897,1.3295913452978945,0.6475183717807798,49360.0,33120.0,1.166460529904695,1.5757187999999998,-0.46580968000000017,1.0,96.11041,1
v3_1d_donchian_20_10_atr4,LINKUSDT_SWAP_OKX.GLOBAL,27,14,13,1,-0.030299999999999952,-0.03463201999999997,0.0032520200000000004,0.0010800000000000004,0.00433202000000002,0.4074074074074074,0.8502754395097692,0.017879350000000002,-0.014456554374999998,-0.0012826674074074063,-0.008286349999999987,0.14536193500043737,0.002907209646803328,-0.23824682851047468,-0.2879042735426848,37386.666666666664,30240.0,-3.9265568395952677,0.07399569,-0.04140474499999999,1.0,6.50404,1
v3_1d_donchian_20_10_atr4,SOLUSDT_SWAP_OKX.GLOBAL,9,6,3,1,0.7561500000000001,0.7474716650000001,0.005078335000000001,0.0036000000000000003,0.008678335000000037,0.3333333333333333,3.88730939245289,0.3354511333333334,-0.043146955833333334,0.08305240722222224,-0.021648205000000004,0.25888173499970435,0.005177634699994087,2.8873093924561872,0.8536017215828566,49120.0,28800.0,1.2019612810339773,0.898432,-0.073153945,1.0,10.156670000000002,1
v3_1d_donchian_55_20_atr5,BTCUSDT_SWAP_OKX.GLOBAL,11,6,5,1,-3.442099999999999,-3.5060655499999998,0.06352555000000001,0.00044,0.0639655500000007,0.18181818181818182,0.30076536740059373,0.75404095,-0.5571274944444444,-0.3187332318181818,-0.4176824149999999,3.669177225000567,0.07338115063553262,-0.9555454356662911,-1.6301844217181831,78938.18181818182,79200.0,-0.23656298011884008,0.829405315,-1.3809527149999994,1.0,127.0511,1
v3_1d_donchian_55_20_atr5,DOGEUSDT_SWAP_OKX.GLOBAL,3,2,1,1,1.3070000000000002,1.2962405000000001,0.0047595,0.006,0.010759500000000033,0.6666666666666666,3.1876166069374747,0.944388,-0.5925355,0.4320801666666667,0.8736887499999999,0.5925354999999399,0.011850709999998798,2.1876166069376968,1.0296860788296218,145439.66666666666,185760.0,0.7831010140479332,1.01508725,-0.5925355,1.0,9.519,1
v3_1d_donchian_55_20_atr5,ETHUSDT_SWAP_OKX.GLOBAL,10,5,5,1,-0.6251999999999991,-0.6530854799999999,0.02748548,0.0004,0.027885480000000795,0.5,0.7926763707573087,0.4993983850000002,-0.630015481,-0.065308548,-0.02941789749999997,1.9246337399999902,0.03848288823008606,-0.3393297469678585,-0.26679296618824005,68544.0,61920.0,-1.626407511004533,1.0621831300000006,-1.92463374,1.0,54.97096,1
v3_1d_donchian_55_20_atr5,LINKUSDT_SWAP_OKX.GLOBAL,14,6,8,1,0.08418000000000003,0.08191553000000004,0.0017044699999999998,0.0005600000000000001,0.0022644699999999907,0.2857142857142857,1.5183571863211038,0.05998616250000001,-0.015802911999999995,0.005851109285714288,-0.008471080000000002,0.0758132150003803,0.0015162561876139668,1.0804914420208815,0.596773646502139,78480.0,51840.0,0.8997112635418457,0.07370032500000001,-0.04140474499999999,1.0,3.4089400000000003,1
v3_1d_donchian_55_20_atr5,SOLUSDT_SWAP_OKX.GLOBAL,5,3,2,1,-0.8937899999999996,-0.9010163149999995,0.0052263150000000005,0.002,0.007226314999999817,0.2,0.5156183429807852,0.9591208350000002,-0.4650342875,-0.1802032629999999,-0.06204309,1.7489877499992872,0.034973823639301974,-0.5151644515522574,-0.5911937747415938,86976.0,36000.0,-1.0644877556961894,0.9591208350000002,-0.9959027499999998,1.0,10.45263,1
