split,policy_name,policy_family,funding_mode,synthetic_funding_stress,funding_bps_per_8h,original_net_pnl,funding_cost,funding_adjusted_net_pnl,funding_break_even_bps,remains_positive_after_funding,funding_exposure_notional_periods
train,v3_1d_donchian_20_10_atr4,1d_donchian,synthetic,True,1.0,-0.6580112899999986,0.63309930194375,-1.2911105919437484,-1.0393492584492883,False,6330.993019437499
train,v3_1d_donchian_20_10_atr4,1d_donchian,synthetic,True,3.0,-0.6580112899999986,1.89929790583125,-2.5573091958312486,-1.0393492584492883,False,6330.993019437499
train,v3_1d_donchian_20_10_atr4,1d_donchian,synthetic,True,5.0,-0.6580112899999986,3.1654965097187495,-3.8235077997187483,-1.0393492584492883,False,6330.993019437499
train,v3_1d_donchian_20_10_atr4,1d_donchian,synthetic,True,10.0,-0.6580112899999986,6.330993019437499,-6.989004309437497,-1.0393492584492883,False,6330.993019437499
train,v3_1d_donchian_55_20_atr5,1d_donchian,synthetic,True,1.0,-0.7882623399999996,0.7495255997291667,-1.5377879397291663,-1.0516816774301372,False,7495.255997291667
train,v3_1d_donchian_55_20_atr5,1d_donchian,synthetic,True,3.0,-0.7882623399999996,2.2485767991875,-3.0368391391875,-1.0516816774301372,False,7495.255997291667
train,v3_1d_donchian_55_20_atr5,1d_donchian,synthetic,True,5.0,-0.7882623399999996,3.7476279986458336,-4.535890338645833,-1.0516816774301372,False,7495.255997291667
train,v3_1d_donchian_55_20_atr5,1d_donchian,synthetic,True,10.0,-0.7882623399999996,7.495255997291667,-8.283518337291667,-1.0516816774301372,False,7495.255997291667
train,v3_1d_ema_50_200_atr5,1d_ema,synthetic,True,1.0,1.6508167100000004,0.6781937823354167,0.9726229276645837,2.4341371935249474,True,6781.937823354167
train,v3_1d_ema_50_200_atr5,1d_ema,synthetic,True,3.0,1.6508167100000004,2.03458134700625,-0.38376463700624974,2.4341371935249474,False,6781.937823354167
