,A1_4h,A1_1d,A2_4h,A2_1d,A3_1d,B1_4h,B1_1d,B2_4h,B2_1d,C1_4h,C1_1d,C2_4h,C2_1d,C3_4h,C3_1d
2023-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-05 00:00:00+00:00,-374.17840708370295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-06 00:00:00+00:00,51.58029090022313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-07 00:00:00+00:00,89.00461140838381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-08 00:00:00+00:00,-286.22056193911305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-09 00:00:00+00:00,965.1409996585019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-10 00:00:00+00:00,2001.2366670005372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-11 00:00:00+00:00,650.2256517010292,0.0,0.014665203000414628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-12 00:00:00+00:00,400.2579228665427,0.0,284.7561794717137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-13 00:00:00+00:00,1176.8609173951902,0.0,785.0710871685118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-14 00:00:00+00:00,1834.5026933360525,0.0,1734.4343335182912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-15 00:00:00+00:00,5378.222837166531,0.0,5256.101720739693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-16 00:00:00+00:00,-1286.746282766021,0.0,-1255.6783839529069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-17 00:00:00+00:00,378.14891088052747,0.0,391.24229841778697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-18 00:00:00+00:00,-450.4057128709272,0.0,-446.5714723897242,0.0,0.0,0.0,0.0,-557.832721169336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-19 00:00:00+00:00,-1640.8734206709828,0.0,-2357.9274255422433,0.0,0.0,0.0,0.0,-2454.7115326946387,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-20 00:00:00+00:00,791.8544529499185,0.0,983.6042261178167,0.0,0.0,0.0,0.0,1119.251672193628,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-21 00:00:00+00:00,2225.5783199114194,0.0,2945.2458730722956,0.0,0.0,0.0,0.0,4382.454134095702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-22 00:00:00+00:00,-961.0601821928743,0.0,-915.3442801922859,0.0,0.0,0.0,0.0,-910.0451653320964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-23 00:00:00+00:00,491.86604609188726,0.0,450.82531395462274,0.0,0.0,0.0,0.0,413.5065625997454,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-24 00:00:00+00:00,178.67720132624157,0.0,216.36572552008238,0.0,0.0,0.0,0.0,197.3390972923259,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25 00:00:00+00:00,-1987.2917586365668,0.0,-2459.2633374183033,0.0,0.0,0.0,0.0,-2325.8344412844767,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-26 00:00:00+00:00,-504.4155208236191,0.0,241.95510103251837,0.0,0.0,0.0,0.0,2023.2992588658724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-27 00:00:00+00:00,23.290898635885448,0.0,-33.07785498238017,0.0,0.0,0.0,0.0,145.29777857529555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-28 00:00:00+00:00,-24.44564229696769,-6.356982499999999,-0.6026000016525757,0.0,0.0,0.0,0.0,439.22463050612214,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-29 00:00:00+00:00,-353.42255919198556,-231.96547449209362,-259.8693298394332,0.0,0.0,0.0,0.0,-564.2045678986017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-30 00:00:00+00:00,-197.70908939047308,221.48825849988353,623.7371638231883,0.0,0.0,0.0,0.0,2192.8280873649974,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-31 00:00:00+00:00,-2166.278573132747,-631.1589636350288,-1213.5929976972432,0.0,0.0,0.0,0.0,-2760.214177191419,0.0,383.61572625624524,-31.881179500000002,0.0,0.0,0.0,0.0
2023-02-01 00:00:00+00:00,49.42138899559737,46.183962176447565,105.34458043325446,0.0,0.0,0.0,0.0,1217.4559283948029,0.0,1183.491029311527,1168.1703804175222,0.0,0.0,0.0,0.0
2023-02-02 00:00:00+00:00,-1586.4386435877116,139.3696457524637,-220.59980616472143,0.0,0.0,0.0,0.0,1231.5869310436228,0.0,1214.148583828427,1209.764593642365,0.0,0.0,0.0,0.0
2023-02-03 00:00:00+00:00,-517.4158137070381,-506.4142150936548,-517.4158137070381,0.0,0.0,0.0,0.0,-974.7428261359635,0.0,-954.8649111869047,-943.0723842903446,0.0,0.0,0.0,0.0
2023-02-04 00:00:00+00:00,315.1529403514656,452.8685849678626,315.1529403514656,0.0,0.0,620.5719851558042,0.0,743.6583579792673,0.0,734.3520387874089,727.3840867351015,0.0,0.0,0.0,0.0
2023-02-05 00:00:00+00:00,297.85619091146503,200.3023550174126,297.85619091146503,0.0,0.0,41.270906639281975,0.0,52.98265456954687,0.0,49.17575549830758,46.503814000633554,0.0,0.0,0.0,0.0
2023-02-06 00:00:00+00:00,-529.7242004673589,-728.8674776274477,-674.279911406737,0.0,0.0,-1504.4563035150643,0.0,-1596.242250442018,0.0,-1567.0631497691272,-1552.745157848665,0.0,0.0,0.0,0.0
2023-02-07 00:00:00+00:00,370.2974740561444,-469.14638474034007,-272.2839266543667,0.0,0.0,-999.564666509097,0.0,-1055.960083859783,0.0,-1040.008819477689,-1028.5753959143099,0.0,0.0,0.0,0.0
2023-02-08 00:00:00+00:00,-1052.4477294292667,803.1062684626188,0.0,0.0,0.0,1854.2070660511827,0.0,1960.7881714643283,0.0,1928.263139427204,1912.7641094958437,0.0,0.0,0.0,0.0
2023-02-09 00:00:00+00:00,375.2351824014487,-341.9818545328229,0.0,0.0,0.0,-849.4485342359324,0.0,-902.4646337095337,0.0,-886.2414095805,-877.0027385999672,0.0,0.0,0.0,0.0
2023-02-10 00:00:00+00:00,1813.410094439284,-1131.1961983256924,405.52494584567893,0.0,0.0,-3420.0301190681753,0.0,-1588.0768373777207,0.0,-3569.04757616531,-3531.9084970912772,0.0,0.0,0.0,0.0
2023-02-11 00:00:00+00:00,383.19579031945386,54.89973351626841,406.22247554945193,0.0,0.0,-620.8065155622951,0.0,288.6603503905461,0.0,-646.2135826816203,-642.0892709271496,0.0,0.0,0.0,0.0
2023-02-12 00:00:00+00:00,-559.362336417749,-295.3679536162085,-593.6705694357681,0.0,0.0,854.1303368371031,0.0,-850.2422209925154,0.0,888.4756205373137,880.3792518102948,0.0,0.0,0.0,0.0
2023-02-13 00:00:00+00:00,-476.6506882626741,-587.1502313165931,-383.9494445071764,0.0,0.0,-159.73532307445305,0.0,153.35086747048422,0.0,-179.56109814859883,-183.55824162151765,0.0,0.0,0.0,0.0
2023-02-14 00:00:00+00:00,-111.95559099290526,169.0776311445479,71.13397763979856,0.0,0.0,-569.7108314738086,0.0,607.1679475564856,0.0,-175.43448118485452,-599.8780898252152,0.0,0.0,0.0,0.0
2023-02-15 00:00:00+00:00,-579.1054538182519,-729.1686198885474,-1193.67617045394,0.0,0.0,765.1106584981081,0.0,-1396.7457941499613,0.0,-1143.4049557256135,-1099.1177181630555,0.0,0.0,0.0,0.0
2023-02-16 00:00:00+00:00,1795.252924583745,-1985.415199340448,-1446.5402466892976,0.0,0.0,2445.102658591713,0.0,-4055.547403700867,0.0,821.5607349790672,705.8097031136062,0.0,0.0,0.0,0.0
2023-02-17 00:00:00+00:00,-2220.905418521271,799.9676434557155,-860.5459289863634,0.0,0.0,-2343.202703936006,0.0,-1141.8434481029453,0.0,-2509.3033690337074,-2230.975683386145,0.0,0.0,0.0,0.0
2023-02-18 00:00:00+00:00,2432.000035100926,-437.32962310801526,764.9032138622323,0.0,0.0,2382.362219095966,0.0,1677.6098679029878,0.0,2091.429349106813,1671.6669160284387,0.0,0.0,0.0,0.0
2023-02-19 00:00:00+00:00,691.8075391825853,-147.44592100894488,-247.24435598183896,0.0,0.0,695.174680091207,0.0,690.0465963609323,0.0,725.982310476932,721.7337990158121,0.0,0.0,0.0,0.0
2023-02-20 00:00:00+00:00,177.3921661554271,-638.6117596661356,-376.8056878187732,0.0,0.0,161.9506946012441,0.0,172.06125837724628,0.0,167.52342603903352,160.77402316322983,0.0,0.0,0.0,0.0
2023-02-21 00:00:00+00:00,1162.339633302323,-15.881720816404403,921.2777754225648,0.0,0.0,1102.758177741575,0.0,1108.1473812477375,0.0,7.882033317859651,-60.17897704095486,0.0,0.0,0.0,0.0
2023-02-22 00:00:00+00:00,-1882.1670324566649,-970.6178620666302,-1398.6516298138984,0.0,0.0,-1836.5258646856848,0.0,-1830.8814383887484,0.0,-1741.0964807098458,-1855.9332279426935,0.0,0.0,0.0,0.0
2023-02-23 00:00:00+00:00,-779.4120215948719,-230.4157111753479,-821.3688790154849,0.0,0.0,-462.2050785967972,0.0,-738.0533471059607,0.0,-604.8308200679127,-461.31855916882085,0.0,0.0,0.0,0.0
2023-02-24 00:00:00+00:00,157.0350956674874,189.56747976921952,179.81132331292818,0.0,0.0,18.365075976244754,0.0,300.472599088303,0.0,456.9467142074169,463.3523705489721,0.0,0.0,0.0,0.0
2023-02-25 00:00:00+00:00,-887.2822943861003,-910.8773511758965,-824.0541893149772,0.0,0.0,-1969.440209237942,0.0,-1165.514128938914,0.0,-1816.0913149001567,-2096.8562169654742,0.0,0.0,0.0,0.0
2023-02-26 00:00:00+00:00,225.34985320529296,-380.1859684979565,-305.98588968846775,0.0,0.0,-496.6496785146255,0.0,-1001.1965772585152,0.0,-167.15201200897104,268.4262862072958,0.0,0.0,0.0,0.0
2023-02-27 00:00:00+00:00,-606.5186918027954,491.61179836767474,-434.6500240698844,0.0,0.0,815.0981678534737,0.0,-877.6643129240139,0.0,-37.11236680554691,-512.1319236219792,0.0,0.0,0.0,0.0
2023-02-28 00:00:00+00:00,-316.47745034153337,-506.03778189792666,99.76657081322034,0.0,0.0,-534.9907140845048,0.0,-84.31947002980536,0.0,-523.3734852668792,-48.33313226283937,0.0,0.0,0.0,0.0
2023-03-01 00:00:00+00:00,71.29513697488531,-396.69752549333407,330.71841920137774,0.0,0.0,-678.6072946642539,0.0,861.58174728678,0.0,275.1751870404356,-63.11795458087278,0.0,0.0,0.0,0.0
2023-03-02 00:00:00+00:00,-130.99665236402342,656.6272020856467,4.231155068464744,0.0,0.0,1162.2359918904053,0.0,-1361.9103411180001,0.0,-872.2484149018272,-1474.7378278453093,0.0,0.0,0.0,0.0
2023-03-03 00:00:00+00:00,173.43132692328032,-532.7993237781131,85.78779457280415,0.0,0.0,-600.2067279683245,0.0,743.678091916309,0.0,-145.80007385329782,-132.95922617923893,0.0,0.0,0.0,0.0
2023-03-04 00:00:00+00:00,-88.69998448710842,-622.118741941859,124.44805771099095,0.0,0.0,-1162.9201209798007,0.0,1129.8546679932754,0.0,-1059.0616916068752,-679.1242804454108,0.0,0.0,0.0,0.0
2023-03-05 00:00:00+00:00,635.8793692410918,123.12141131484512,465.46561115154566,0.0,0.0,324.5691653787641,0.0,607.2719495584993,0.0,609.7705480146979,613.0764614920995,0.0,0.0,0.0,0.0
2023-03-06 00:00:00+00:00,-157.47333220297395,-25.845722710350163,-40.884713581152226,0.0,0.0,45.95720255686879,0.0,-149.5345660724402,0.0,-156.15970144870863,-155.815892291275,0.0,0.0,0.0,0.0
2023-03-07 00:00:00+00:00,296.98280344531054,-137.42770286618924,162.99904541947342,0.0,0.0,323.26837985935964,0.0,281.72674027237565,0.0,279.3276941846523,278.244441170557,0.0,0.0,0.0,0.0
2023-03-08 00:00:00+00:00,352.32303331127014,-45.87815733178438,349.3638229967055,0.0,0.0,346.05812495329616,0.0,340.1653945576191,0.0,334.9047460015657,336.16757940320525,0.0,0.0,0.0,0.0
2023-03-09 00:00:00+00:00,2097.7011221085,-326.74807441720765,1410.5334559692642,0.0,0.0,2062.078921049762,0.0,2011.8353514233754,0.0,2002.570965947325,2004.5150549699997,0.0,0.0,0.0,0.0
2023-03-10 00:00:00+00:00,3020.351155963497,1926.6206763550003,2307.5276674492275,-13.155683999999999,0.0,2982.762512586246,0.0,2922.0723433997937,0.0,2950.26194810723,2956.6123647157765,0.0,0.0,0.0,0.0
2023-03-11 00:00:00+00:00,-322.27631186330893,-399.97247261591855,-307.1089179511282,-73.47462129377527,0.0,-311.77722127934015,0.0,-300.6653999350693,0.0,-282.723686947342,-281.12574193199504,0.0,0.0,0.0,0.0
2023-03-12 00:00:00+00:00,-438.8113122004187,-470.99979733432906,-449.52948617278935,-2.4200753580314895,0.0,-436.3637139216248,0.0,-436.32509978752785,0.0,-438.74236257030327,-439.47240876073676,0.0,0.0,0.0,0.0
2023-03-13 00:00:00+00:00,-2670.3684049373064,-3933.387484397505,-3632.844371386416,-1331.9133379412006,0.0,-3537.15612018367,0.0,-3470.4741880339093,0.0,-3512.3664534792465,-3516.128227878785,0.0,0.0,0.0,0.0
2023-03-14 00:00:00+00:00,1407.111587595025,-2311.803467372911,-492.22587584134953,-667.2666917017349,0.0,-2157.7298875911624,0.0,-2133.829244552142,0.0,-203.41305467123766,1019.4535158893711,0.0,0.0,0.0,0.0
2023-03-15 00:00:00+00:00,1142.4850986887886,-791.8952234985177,-734.3015091882143,-576.044251288663,0.0,-1101.6241247204207,0.0,-486.32632846877027,0.0,-1885.215457077829,-330.1784275053619,0.0,0.0,0.0,0.0
2023-03-16 00:00:00+00:00,-2655.6024076480553,1743.0861614418711,-2433.950557468085,1428.049071719057,0.0,1244.928160151271,0.0,1433.7581300188203,0.0,-1480.2552024664963,304.82500958882474,0.0,0.0,0.0,0.0
2023-03-17 00:00:00+00:00,321.36747818014874,-379.65477194024356,1184.4349978999537,-625.6047293041114,0.0,-310.48820030439117,0.0,-275.59251056635657,0.0,-353.1454458626435,-285.06874085504546,0.0,0.0,0.0,0.0
2023-03-18 00:00:00+00:00,1065.1159964933547,-786.2125647532623,3854.402354981364,-1492.482704210257,0.0,-525.3188461337311,0.0,-54.89265551176922,0.0,353.3355837184075,-450.7294570985768,0.0,0.0,0.0,0.0
2023-03-19 00:00:00+00:00,-2071.4226736680466,287.75024157190256,-1417.9093017200726,632.2797699125265,0.0,644.5178856976725,0.0,-2734.5595076379273,0.0,605.3729493219465,640.7095433971274,0.0,0.0,0.0,0.0
2023-03-20 00:00:00+00:00,1316.9611161127425,-9.796721730251448,1307.582465279158,22.119532000931002,0.0,-169.54338397273781,0.0,1288.0748399228505,0.0,-130.1104110712361,-136.11378769760836,0.0,0.0,0.0,0.0
2023-03-21 00:00:00+00:00,-753.6960756074977,-141.7142188264334,-760.1546085875364,162.922566201496,0.0,-86.87720132644704,0.0,-729.2248549950672,0.0,-435.4097318414812,-123.52585977672055,0.0,0.0,0.0,0.0
2023-03-22 00:00:00+00:00,113.6825243061564,-338.2317617381349,1221.3359914828231,-798.219068792949,0.0,117.34661018258828,0.0,464.0926119925377,0.0,-650.3870832600363,-729.524871992839,0.0,0.0,0.0,0.0
2023-03-23 00:00:00+00:00,-1861.0350309753649,263.85018441000614,-1968.7224678875878,72.61890869197032,0.0,-1181.8396061388,0.0,-1912.6436196076559,0.0,305.85825174243644,405.5029401958865,0.0,0.0,0.0,0.0
2023-03-24 00:00:00+00:00,441.6333786632605,-1.3476413222003316,1089.8805110337917,-410.44391845476366,0.0,1413.7915231069148,0.0,2326.9779947386996,0.0,-393.7710094725637,-506.7453680029566,0.0,0.0,0.0,0.0
2023-03-25 00:00:00+00:00,-858.613902738293,523.2800520566977,-962.5435104444291,432.52077457272736,0.0,-1622.517904902517,0.0,-2360.0604889940564,0.0,792.6741197213939,944.3860889377137,0.0,0.0,0.0,0.0
2023-03-26 00:00:00+00:00,-336.7244444978711,172.35649236837668,-340.12619310348305,245.04172951536975,0.0,-259.2910442365033,0.0,-399.6503909359777,0.0,301.36440952001385,334.20734645164214,0.0,0.0,0.0,0.0
2023-03-27 00:00:00+00:00,-267.6023270572612,28.525614541908595,191.57017569983475,1.456115436872068,0.0,862.8159784963648,0.0,678.7000045221545,0.0,-120.57664205929534,-180.21473971184665,0.0,0.0,0.0,0.0
2023-03-28 00:00:00+00:00,414.0153000884342,108.6566430209887,-447.5243713753729,226.40376187096362,0.0,-1038.360306373071,0.0,-987.1053317024828,0.0,437.4251396110719,557.3492583698139,0.0,0.0,0.0,0.0
2023-03-29 00:00:00+00:00,-846.6698447788874,-44.61890583664233,-279.8260649254898,103.6630336669813,0.0,118.51568931052817,0.0,-135.3935376666433,0.0,-36.573932307696275,-81.49630638581658,0.0,0.0,0.0,0.0
2023-03-30 00:00:00+00:00,-1368.7395746604627,-36.962920768785125,-397.3108544426956,-454.2975980366274,0.0,634.6427137129732,0.0,-639.3368371571325,0.0,-293.0292906441384,-598.0113677046443,0.0,0.0,0.0,0.0
2023-03-31 00:00:00+00:00,-291.61709489114054,362.581777080639,0.0,335.57461278492525,0.0,94.89372330998725,0.0,-253.6774721922844,0.0,109.5847748382918,87.74820540438549,0.0,0.0,0.0,0.0
2023-04-01 00:00:00+00:00,667.6332474760952,-370.5142753820412,0.0,-673.855385976635,0.0,200.70370824158414,0.0,892.495856257291,0.0,265.860845466009,213.52269027882375,50.614567196862204,-32.4245,0.0,0.0
2023-04-02 00:00:00+00:00,625.9680408079967,-589.4545176327537,-21.15581197652758,-685.360401936293,0.0,-620.2850101825239,0.0,620.5367419503468,0.0,-658.1685929693532,-631.2600772560573,525.6608132578558,521.1378399262926,0.0,0.0
2023-04-03 00:00:00+00:00,-615.143706260226,54.2686233462116,-340.08550919779776,230.79428066697136,0.0,-1342.2165607650454,0.0,-774.1551773098564,0.0,-854.9608505502758,-760.1749354257647,-1270.7046123796194,-1266.2796784582456,0.0,0.0
2023-04-04 00:00:00+00:00,2208.1076139556635,-27.90015128555368,2056.4055641419154,-34.85709608090706,0.0,1968.3130131733544,0.0,2185.525666281114,0.0,1548.876622989692,2007.4808397845761,2127.694151847265,2111.0869674126684,0.0,0.0
2023-04-05 00:00:00+00:00,-59.73018671878302,176.68420810861784,-53.28616209816455,199.94665314984826,0.0,379.0430553599949,0.0,375.97241810274625,0.0,416.6120761789664,412.5155218032195,751.7394291760824,750.7003532124288,0.0,0.0
2023-04-06 00:00:00+00:00,-492.93153562978824,-65.21472093332414,-98.4241687558563,37.377864187359364,0.0,-170.9312763903212,0.0,-196.8393759783521,0.0,-502.8852366868025,-180.21023989155924,-160.7900917863268,-158.74880800260837,0.0,0.0
2023-04-07 00:00:00+00:00,-791.9211814439052,-825.4620833929109,-1082.8943513167228,-818.5981171507931,0.0,-1128.3572123462814,0.0,-1224.8642004888247,0.0,-1591.1372701164912,-1495.846011199177,-1516.0756777411134,-1507.4838635083279,0.0,0.0
2023-04-08 00:00:00+00:00,57.81823118498825,-340.9813766890602,-338.3236444665394,-532.0243152791514,0.0,-309.8405771040128,0.0,-357.51013846384063,0.0,-487.3819586813873,-488.30391733551903,-499.98343413261676,-495.73947740518133,0.0,0.0
2023-04-09 00:00:00+00:00,1.47654383911825,70.27402788366263,-81.93063339267681,52.00136227959254,0.0,-174.98951426498525,0.0,-223.48955646804254,0.0,-591.6070407776439,-585.0724711716052,-578.5289547792547,-576.0283415776214,0.0,0.0
2023-04-10 00:00:00+00:00,-375.5299918679601,252.69678586571334,-77.50275636441081,258.2116523326496,0.0,406.1927789616652,0.0,220.47094493860058,0.0,682.1257516699027,678.3660855890038,645.3051688455571,642.5338566198421,0.0,0.0
2023-04-11 00:00:00+00:00,147.47944286990955,650.9740638222052,153.7582136131534,710.3267408515223,0.0,908.0704825032926,0.0,563.477613294459,-32.414001999999996,1585.444608667027,1577.8173219686096,1414.004226516967,1409.9701331709318,0.0,0.0
2023-04-12 00:00:00+00:00,955.4206858439734,-1177.4351597711643,409.82458091303465,93.68080457022832,-5.015373,-1076.0584520711898,0.0,-575.1370715729701,947.9770476866468,993.4099246039259,982.1080032481399,939.102168839252,929.1195203167257,0.0,0.0
2023-04-13 00:00:00+00:00,-124.86176283731317,-40.96997206785403,259.25194192574764,84.33310823190237,-98.89678783940124,216.05482366804375,0.0,223.05178242236286,253.35887288404052,250.8683939790156,248.00769477926838,252.05244035294172,248.42493462824797,0.0,0.0
2023-04-14 00:00:00+00:00,1042.124041256849,1412.1496938402663,564.2846758546939,733.7527499277878,153.741951348473,1799.6446766398105,0.0,1859.499331159677,1716.6127362859427,1896.253008519588,1885.9018511854351,1788.4611411635515,1782.439656985757,0.0,0.0
2023-04-15 00:00:00+00:00,793.3991040031945,791.9088907334464,618.6830605096382,198.64983025381295,465.66847731149164,1208.4433913890598,0.0,1221.859587407391,1139.6609697000629,1257.4401764238962,1247.814393341362,438.0316483609139,1168.273253072285,0.0,0.0
2023-04-16 00:00:00+00:00,-54.21016095989026,-36.263823721304746,-58.19714403326571,-88.85302256751025,-103.19950674267793,-9.380745386530933,0.0,-35.22664067071252,-34.47648379694702,-60.528549324404025,-64.24908144760516,-52.42563396343227,-43.585301521593294,0.0,0.0
2023-04-17 00:00:00+00:00,1090.8472138756904,1016.7119079605166,878.4836660790382,297.9264678768617,134.6507371980437,1072.3566399949468,0.0,1105.1469814251732,1101.9723231549835,1146.4322148514104,1134.9336712758115,1152.949349854443,1113.6133608259859,0.0,0.0
2023-04-18 00:00:00+00:00,-553.3909334372483,-840.6802569032415,-1006.002275588404,-475.42832513904216,-514.9853625345354,-827.1944987793713,0.0,-840.9386885731224,-779.2451379138503,-925.5966606611389,-921.2574249024336,-757.166240468254,-785.6008926105828,0.0,0.0
2023-04-19 00:00:00+00:00,781.878996442062,1475.3505531202206,1070.9510328154822,796.0275032277227,455.3643713119785,1558.0482669265189,0.0,1584.8587327212995,1468.4444121760082,1626.6836702950143,1613.4440869649964,1438.7554955870255,1500.2223156679163,0.0,0.0
2023-04-20 00:00:00+00:00,-2633.089127020225,-4258.886329231791,-3084.809960808138,-3139.1248371890874,-2328.943751576163,-4464.301731936852,0.0,-4559.918791522542,-4298.007056776582,-4818.555540245063,-4675.021229165466,-4161.394216462691,-4390.377469616907,0.0,0.0
2023-04-21 00:00:00+00:00,118.26048337716651,-1112.0136474212236,-377.99020433764514,-857.3208360239446,-424.09141029150726,-1201.9579434229195,0.0,-1262.0859949730088,-1179.875012234948,-1257.2760364039154,-1265.2838935181135,-1513.735880166069,-1249.826892873164,0.0,0.0
2023-04-22 00:00:00+00:00,1998.6682135042968,-2476.1662894565966,274.02353509881857,-1945.6364195413905,-1276.3339175029678,-2593.648548443971,0.0,-2001.3664444428157,-2482.9127326202424,-278.20180515912796,-1855.6002066616034,-317.4112257654548,-326.5446042624386,0.0,0.0
