instId,coin,expiry,entry_date,days_held,n_obs_in_hold,entry_basis_pct,gross_ann_pct,net_carry_pct,net_ann_pct,regime,deployable,final_basis_pct,final_basis_d2e,converged,worst_short_leg_up_move_pct,worst_basis_widen_pct
BTC-USD-220325,BTC,2022-03-25,2022-01-24,60,60,0.8097,4.925,0.5097,3.1,contango,True,0.1418,1,True,32.957,0.0
BTC-USD-220624,BTC,2022-06-24,2022-04-25,60,60,0.3209,1.952,0.0209,0.127,contango,True,-0.0413,1,True,4.834,0.0432
BTC-USD-220930,BTC,2022-09-30,2022-08-01,60,61,0.3942,2.398,0.0942,0.573,contango,True,0.0254,1,True,8.949,0.1317
BTC-USD-221230,BTC,2022-12-30,2022-10-31,60,61,0.2392,1.455,-0.0608,-0.37,contango,False,0.139,1,True,5.512,1.1107
BTC-USD-230331,BTC,2023-03-31,2023-01-30,60,61,0.7637,4.646,0.4637,2.821,contango,True,-0.0657,1,True,25.079,0.1015
BTC-USD-230630,BTC,2023-06-30,2023-05-01,60,61,0.4011,2.44,0.1011,0.615,contango,True,-0.0338,1,True,11.444,1.9061
BTC-USD-230929,BTC,2023-09-29,2023-07-31,60,61,0.8259,5.024,0.5259,3.199,contango,True,0.0515,1,True,3.578,0.1672
BTC-USD-231229,BTC,2023-12-29,2023-10-30,60,61,1.4543,8.847,1.1543,7.022,contango,True,0.1613,1,True,28.168,0.1015
BTC-USD-240329,BTC,2024-03-29,2024-01-29,60,61,1.6577,10.084,1.3577,8.259,contango,True,0.0384,1,True,73.042,0.1481
BTC-USD-240628,BTC,2024-06-28,2024-04-29,60,61,1.001,6.089,0.701,4.264,contango,True,0.0748,1,True,14.35,0.3735
BTC-USD-240927,BTC,2024-09-27,2024-07-29,60,61,1.7028,10.359,1.4028,8.534,contango,True,0.0023,1,True,3.023,0.0
BTC-USD-241227,BTC,2024-12-27,2024-10-28,60,61,1.8273,11.116,1.5273,9.291,contango,True,0.0406,1,True,56.273,0.1872
BTC-USD-250328,BTC,2025-03-28,2025-01-27,60,61,1.5446,9.397,1.2446,7.572,contango,True,0.0699,1,True,5.381,0.2512
BTC-USD-250627,BTC,2025-06-27,2025-04-28,60,61,0.9989,6.077,0.6989,4.252,contango,True,-0.0508,1,True,19.011,0.0391
ETH-USD-220325,ETH,2022-03-25,2022-01-24,60,60,0.7661,4.66,0.4661,2.835,contango,True,0.0289,1,True,43.474,0.0
ETH-USD-220624,ETH,2022-06-24,2022-04-25,60,60,0.1812,1.102,-0.1188,-0.723,contango,False,-0.1226,1,True,6.2,0.1992
ETH-USD-220930,ETH,2022-09-30,2022-08-01,60,61,0.156,0.949,-0.144,-0.876,contango,False,-0.0286,1,True,19.857,0.0
ETH-USD-221230,ETH,2022-12-30,2022-10-31,60,61,0.0746,0.454,-0.2254,-1.371,contango,False,0.2799,1,True,7.044,2.2491
ETH-USD-230331,ETH,2023-03-31,2023-01-30,60,61,0.6165,3.75,0.3165,1.925,contango,True,-0.0022,1,True,17.041,0.3738
ETH-USD-230630,ETH,2023-06-30,2023-05-01,60,61,0.3365,2.047,0.0365,0.222,contango,True,-0.0691,1,True,10.448,1.1973
ETH-USD-230929,ETH,2023-09-29,2023-07-31,60,61,0.4687,2.852,0.1687,1.027,contango,True,-0.1319,1,True,1.319,0.2309
ETH-USD-231229,ETH,2023-12-29,2023-10-30,60,61,0.9884,6.013,0.6884,4.188,contango,True,0.1323,1,True,33.457,0.3836
ETH-USD-240329,ETH,2024-03-29,2024-01-29,60,61,1.448,8.809,1.148,6.984,contango,True,0.1151,1,True,80.409,0.3929
ETH-USD-240628,ETH,2024-06-28,2024-04-29,60,61,1.1597,7.055,0.8597,5.23,contango,True,0.0345,1,True,25.072,0.3798
ETH-USD-240927,ETH,2024-09-27,2024-07-29,60,61,1.8542,11.279,1.5542,9.454,contango,True,-0.0358,1,True,2.807,0.0
ETH-USD-241227,ETH,2024-12-27,2024-10-28,60,61,1.6232,9.875,1.3232,8.05,contango,True,0.1188,1,True,63.128,0.2594
ETH-USD-250328,ETH,2025-03-28,2025-01-27,60,61,1.6049,9.763,1.3049,7.938,contango,True,0.0374,1,True,9.587,0.6366
ETH-USD-250627,ETH,2025-06-27,2025-04-28,60,61,0.8778,5.34,0.5778,3.515,contango,True,0.1047,1,True,62.303,0.0
